target_date,generated_at,metric,rows_evaluated,shadow_verdict,avg_error_delta,improved_rows,worsened_rows,quality_gate,quality_priority,promotion_allowed,manual_review_required,quality_reason,source_guard,auto_apply,production_change
2026-05-29,2026-05-29T19:16:47+01:00,total_goals,7,SHADOW_BETTER_ON_SAMPLE,0.006,4,3,NO_CLEAR_AB_EDGE,LOW,NO,NO,A/B result does not show a clear usable edge.,data/processed/today/2026-05-29/vsigma_shadow_forecast_ab_summary.csv,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,total_sot,6,NO_CLEAR_AB_EDGE,0.000,3,3,NO_CLEAR_AB_EDGE,LOW,NO,NO,A/B result does not show a clear usable edge.,data/processed/today/2026-05-29/vsigma_shadow_forecast_ab_summary.csv,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,total_corners,6,SHADOW_BETTER_ON_SAMPLE,0.333,4,2,PROMOTION_BLOCKED,MEDIUM,NO,NO,"Shadow improves sample, but promotion is blocked until larger sample.",data/processed/today/2026-05-29/vsigma_shadow_forecast_ab_summary.csv,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,total_fouls,6,SHADOW_BETTER_ON_SAMPLE,0.433,3,3,PROMOTION_BLOCKED,MEDIUM,NO,NO,"Shadow improves sample, but promotion is blocked until larger sample.",data/processed/today/2026-05-29/vsigma_shadow_forecast_ab_summary.csv,NO,NO
