target_date,generated_at,fixture_id,home_team,away_team,league,forecast_confidence,metric,actual_value,pred_low,pred_mid,pred_high,range_hit,abs_error_mid,direction_error,forecast_warning,source_guard,auto_apply,production_change
2026-05-29,2026-05-29T19:16:46+01:00,1535218,America de Cali,Macara,CONMEBOL Sudamericana,MEDIUM,total_goals,0.00,1.95,2.62,3.30,MISS,2.62,OVER_ESTIMATE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535218,America de Cali,Macara,CONMEBOL Sudamericana,MEDIUM,total_sot,6.00,5.00,7.00,10.00,HIT,1.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535218,America de Cali,Macara,CONMEBOL Sudamericana,MEDIUM,total_shots,29.00,20.00,25.00,31.00,HIT,4.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535218,America de Cali,Macara,CONMEBOL Sudamericana,MEDIUM,total_corners,12.00,7.00,10.00,13.00,HIT,2.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535218,America de Cali,Macara,CONMEBOL Sudamericana,MEDIUM,total_cards,5.00,3.00,5.00,7.00,HIT,0.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535218,America de Cali,Macara,CONMEBOL Sudamericana,MEDIUM,total_fouls,20.00,19.00,24.00,29.00,HIT,4.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535318,Cruzeiro,Barcelona SC,CONMEBOL Libertadores,MEDIUM,total_goals,4.00,1.81,2.44,3.07,MISS,1.56,UNDER_ESTIMATE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535318,Cruzeiro,Barcelona SC,CONMEBOL Libertadores,MEDIUM,total_sot,10.00,5.00,8.00,11.00,HIT,2.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535318,Cruzeiro,Barcelona SC,CONMEBOL Libertadores,MEDIUM,total_shots,31.00,17.00,22.00,27.00,MISS,9.00,UNDER_ESTIMATE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535318,Cruzeiro,Barcelona SC,CONMEBOL Libertadores,MEDIUM,total_corners,8.00,5.00,7.00,9.00,HIT,1.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535318,Cruzeiro,Barcelona SC,CONMEBOL Libertadores,MEDIUM,total_cards,6.00,4.00,6.00,8.00,HIT,0.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535318,Cruzeiro,Barcelona SC,CONMEBOL Libertadores,MEDIUM,total_fouls,18.00,21.00,27.00,32.00,MISS,9.00,OVER_ESTIMATE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535232,Tigre,Alianza Atletico,CONMEBOL Sudamericana,MEDIUM,total_goals,2.00,1.51,2.06,2.62,HIT,0.06,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535232,Tigre,Alianza Atletico,CONMEBOL Sudamericana,MEDIUM,total_sot,7.00,4.00,7.00,9.00,HIT,0.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535232,Tigre,Alianza Atletico,CONMEBOL Sudamericana,MEDIUM,total_shots,20.00,19.00,24.00,30.00,HIT,4.00,ON_RANGE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535232,Tigre,Alianza Atletico,CONMEBOL Sudamericana,MEDIUM,total_corners,5.00,6.00,8.00,11.00,MISS,3.00,OVER_ESTIMATE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535232,Tigre,Alianza Atletico,CONMEBOL Sudamericana,MEDIUM,total_cards,8.00,2.00,4.00,6.00,MISS,4.00,UNDER_ESTIMATE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535232,Tigre,Alianza Atletico,CONMEBOL Sudamericana,MEDIUM,total_fouls,28.00,17.00,22.00,27.00,MISS,6.00,UNDER_ESTIMATE,LINEUPS_INACTIVE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535314,Boca Juniors,U. Catolica,CONMEBOL Libertadores,MEDIUM,total_goals,1.00,1.87,2.62,3.38,MISS,1.62,OVER_ESTIMATE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535314,Boca Juniors,U. Catolica,CONMEBOL Libertadores,MEDIUM,total_sot,3.00,5.00,8.00,11.00,MISS,5.00,OVER_ESTIMATE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535314,Boca Juniors,U. Catolica,CONMEBOL Libertadores,MEDIUM,total_shots,24.00,16.00,21.00,27.00,HIT,3.00,ON_RANGE,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,DATED_INPUT_ONLY,NO,NO
