country,league,league_tier,league_filter_reason,matches
World,World Cup - Women - Qualification Europe,REJECT,hard_reject_noise_league,25
World,Friendlies,REJECT,hard_reject_noise_league,24
Iran,Azadegan League,REJECT,country_league_not_allowlisted,9
Brazil,Brasileiro U17,REJECT,hard_reject_noise_league,7
Argentina,Reserve League,REJECT,hard_reject_noise_league,6
Sweden,Superettan,REJECT,country_league_not_allowlisted,5
World,Friendlies Women,REJECT,hard_reject_noise_league,5
Mali,Première Division,REJECT,country_league_not_allowlisted,4
Morocco,Botola Pro,REJECT,country_league_not_allowlisted,4
Sweden,Svenska Cupen,REJECT,country_league_not_allowlisted,4
Cameroon,Elite Two,REJECT,country_league_not_allowlisted,3
Sudan,Sudani Premier League,REJECT,country_league_not_allowlisted,3
World,UEFA U19 Championship - Qualification,REJECT,hard_reject_noise_league,3
Ecuador,Liga Pro Serie B,REJECT,country_league_not_allowlisted,2
Poland,II Liga - East,REJECT,country_league_not_allowlisted,2
USA,USL W League,REJECT,country_league_not_allowlisted,2
Ukraine,Premier League,REJECT,country_league_not_allowlisted,2
World,Baltic Cup,REJECT,country_league_not_allowlisted,2
Australia,NNSW League 1,REJECT,country_league_not_allowlisted,1
Australia,Queensland Premier League,REJECT,country_league_not_allowlisted,1
Brazil,Brasileiro U20 A,REJECT,hard_reject_noise_league,1
Brazil,Paranaense U20,REJECT,hard_reject_noise_league,1
Finland,Suomen Cup,REJECT,country_league_not_allowlisted,1
Finland,Ykkösliiga,REJECT,country_league_not_allowlisted,1
Gabon,Championnat D1,REJECT,country_league_not_allowlisted,1
USA,USL League Two,REJECT,country_league_not_allowlisted,1
Uzbekistan,Pro League A,REJECT,country_league_not_allowlisted,1
World,ASEAN Championship U19,REJECT,hard_reject_noise_league,1
World,UEFA U17 Championship - Qualification,REJECT,hard_reject_noise_league,1
Zimbabwe,Premier Soccer League,REJECT,country_league_not_allowlisted,1
Spain,Segunda División,TIER_1,spain_segunda,1
Brazil,Serie B,TIER_3,brazil_serie_b_noisy,2
