target_date,generated_at,fixture_id,home_team,away_team,market_hint,before_primary,after_primary,before_permission,after_permission,guard_action,reason,auto_apply,production_change
2026-06-09,2026-06-09T22:10:51+01:00,1548054,Almeria,Castellón,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OVER_1_5_SUPPORTED,OVER_1_5_SUPPORTED,LIVE_ONLY,LIVE_ONLY,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-09,2026-06-09T22:10:51+01:00,1520715,Nautico Recife,Fortaleza EC,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-09,2026-06-09T22:10:51+01:00,1520717,Ponte Preta,Cuiaba,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
