execution_rank,date,league,fixture_id,home_team,away_team,market_primary,final_recommendation,execution_shortlist_source,execution_score,selection_score,primary_edge,primary_model_prob,pick_main_why,pick_supporting_edges,pick_primary_risk,pick_execution_rationale,pick_bucket_rationale,pick_rank_rationale,pick_failure_mode,pick_confirmation_layers
1,2026-05-19,CONMEBOL Libertadores,1535311,Rosario Central,UCV,BTTS_YES,BET,PREMIUM_CORE,139.64949416342412,96.1,0.2454949416342413,0.6346,CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;BET_EXECUTABLE;COVERAGE_RICH_SUPPORT,ROLLING_STATS_AVAILABLE;CLEAN_MARKET_FIT;CORE_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;LINEUP_INACTIVE_NO_EDGE;COVERAGE_RICH_SUPPORT;COVERAGE_LIMITS_INJURIES,FAILURE_MODE_BTTS_BREAK; market=BTTS_YES; edge=0.245; market_fit=SAFE_OK,BET; edge=0.245; prob=0.635; odds=2.57; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_CORE: CORE_GATE_PASSED; APPROVED_PREMIUM; BET; SAFE_OK,EXECUTION_SHORTLIST_SORT: execution_rank=1; phase=PREMIUM_CORE; execution_score=139.649; selection_score=96.100; primary_edge=0.245; primary_model_prob=0.635; shortlist_rank=3; caps=league2_market2_fixture1,BTTS_BREAK,ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE
2,2026-05-19,Jupiler Pro League,1536961,Genk,Antwerp,OVER_2_5,BET,PREMIUM_CORE,130.07046511627908,92.93,0.1814046511627907,0.7628,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;LINEUP_CONFIRMS_THESIS_ACTIVE;COVERAGE_RICH_SUPPORT,FAILURE_MODE_LOW_CONVERSION; market=OVER_2_5; edge=0.181; market_fit=SAFE_OK,BET; edge=0.181; prob=0.763; odds=1.72; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_CORE: CORE_GATE_PASSED; APPROVED_PREMIUM; BET; SAFE_OK,EXECUTION_SHORTLIST_SORT: execution_rank=2; phase=PREMIUM_CORE; execution_score=130.070; selection_score=92.930; primary_edge=0.181; primary_model_prob=0.763; shortlist_rank=5; caps=league2_market2_fixture1,LOW_CONVERSION,STATS+ODDS+MARKET_TRANSLATION+FORM+LINEUP_ACTIVE+LEAGUE_COVERAGE
3,2026-05-19,Jupiler Pro League,1536960,KVC Westerlo,Standard Liege,OVER_2_5,BET,PREMIUM_CORE,127.92393939393939,94.44,0.1448393939393939,0.7509,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;LINEUP_CONFIRMS_THESIS_ACTIVE;COVERAGE_RICH_SUPPORT,FAILURE_MODE_LOW_CONVERSION; market=OVER_2_5; edge=0.145; market_fit=SAFE_OK,BET; edge=0.145; prob=0.751; odds=1.65; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_CORE: CORE_GATE_PASSED; APPROVED_PREMIUM; BET; SAFE_OK,EXECUTION_SHORTLIST_SORT: execution_rank=3; phase=PREMIUM_CORE; execution_score=127.924; selection_score=94.440; primary_edge=0.145; primary_model_prob=0.751; shortlist_rank=4; caps=league2_market2_fixture1,LOW_CONVERSION,STATS+ODDS+MARKET_TRANSLATION+FORM+LINEUP_ACTIVE+LEAGUE_COVERAGE
4,2026-05-19,CONMEBOL Libertadores,1535300,Coquimbo Unido,Deportes Tolima,OVER_1_5,BET,PREMIUM_EXTENDED,110.34555555555555,88.39,0.1695555555555555,0.864,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;MODEL_PROB_EXTENDED_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;LINEUP_INACTIVE_NO_EDGE;COVERAGE_RICH_SUPPORT;COVERAGE_LIMITS_INJURIES,FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.170; market_fit=SAFE_OK,BET; edge=0.170; prob=0.864; odds=1.44; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_EXTENDED: EXTENDED_GATE_PASSED; EXTENDED_QUALITY_OK; edge>=0.08; prob>=0.82,EXECUTION_SHORTLIST_SORT: execution_rank=4; phase=PREMIUM_EXTENDED; execution_score=110.346; selection_score=88.390; primary_edge=0.170; primary_model_prob=0.864; shortlist_rank=7; caps=league2_market2_fixture1,LOW_CONVERSION,STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE
5,2026-05-19,CONMEBOL Sudamericana,1535202,A. Italiano,Barracas Central,OVER_1_5,BET,PREMIUM_EXTENDED,94.43448275862067,76.06,0.1337448275862068,0.8234,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;MODEL_PROB_EXTENDED_STRONG;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;LINEUP_INACTIVE_NO_EDGE;COVERAGE_RICH_SUPPORT;COVERAGE_LIMITS_INJURIES,FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.134; market_fit=SAFE_OK,BET; edge=0.134; prob=0.823; odds=1.45; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_EXTENDED: EXTENDED_GATE_PASSED; EXTENDED_QUALITY_OK; edge>=0.08; prob>=0.82,EXECUTION_SHORTLIST_SORT: execution_rank=5; phase=PREMIUM_EXTENDED; execution_score=94.434; selection_score=76.060; primary_edge=0.134; primary_model_prob=0.823; shortlist_rank=11; caps=league2_market2_fixture1,LOW_CONVERSION,STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE
