target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,fixture_datetime,minutes_to_kickoff,prelock_window_minutes,prelock_window_start,useful_prelock_slots,next_useful_prelock_slot,in_window_now,prelock_retained,prelock_decision,prelock_decision_reason,prelock_lineup_state,prelock_odds_state,prelock_availability_state,exclusion_reason,next_action
2026-05-19,2026-05-19T18:43:58+01:00,1544951,Serie B,Monza,Juve Stabia,OVER_1_5,0.78646,155.296,FAILURE_MODE_LOW_CONVERSION,2026-05-19T19:00+01:00,16.02,90,2026-05-19T17:30+01:00,2026-05-19T18:00+01:00,,YES,NO,,,,,,IN_WINDOW_BUT_NOT_RETAINED,CHECK_ODDS_LINEUPS_AVAILABILITY_OR_V7_GOVERNANCE
2026-05-19,2026-05-19T18:43:58+01:00,1535300,CONMEBOL Libertadores,Coquimbo Unido,Deportes Tolima,OVER_1_5,0.784,119.281,FAILURE_MODE_LOW_CONVERSION,2026-05-19T23:00+01:00,256.02,90,2026-05-19T21:30+01:00,2026-05-19T22:00+01:00,2026-05-19T22:00+01:00,NO,NO,,,,,,OUTSIDE_90_MIN_PRELOCK_WINDOW,WAIT_UNTIL_2026-05-19T22:00+01:00
