target_date,generated_at,rank,fixture_id,home_team,away_team,forecast_confidence,forecast_warning,portfolio_status,context_level,market_hint,stat_profile,primary_stat_market,secondary_stat_market,execution_permission,stake_band,translation_score,translation_reason,kill_switch,source_guard,auto_apply,production_change
2026-07-29,2026-07-29T11:07:50+01:00,1,1494217,IF Brommapojkarna,Hammarby FF,LOW,LINEUPS_INACTIVE; LOW_LEAGUE_RELIABILITY; PARTIAL_RECENT_STATS,REVIEW_ONLY,L6_REVIEW,OVER_2_5,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-34,stat_score=0; confidence=LOW 56.7; portfolio=REVIEW_ONLY; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-07-29,2026-07-29T11:07:50+01:00,2,1494711,KFUM Oslo,Molde,LOW,LINEUPS_INACTIVE; LOW_LEAGUE_RELIABILITY; PARTIAL_RECENT_STATS,REVIEW_ONLY,L6_REVIEW,OVER_2_5,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-34,stat_score=0; confidence=LOW 56.7; portfolio=REVIEW_ONLY; no stat market has enough support,LOW_FORECAST_CONFIDENCE,DATED_INPUT_ONLY,NO,NO
2026-07-29,2026-07-29T11:07:50+01:00,3,1492307,Remo,Vitoria,LOW,LINEUPS_INACTIVE; LOW_LEAGUE_RELIABILITY; PARTIAL_RECENT_STATS,REVIEW_ONLY,L6_REVIEW,OVER_1_5,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-34,stat_score=12; confidence=LOW 56.7; portfolio=REVIEW_ONLY; low forecast confidence blocks execution; watch only; proxy_bridge_calibration_guard=blocked inversion from tempo/over proxy into under/no-goals market,PROXY_BRIDGE_INVERSION_BLOCK,DATED_INPUT_ONLY; PROXY_BRIDGE_CALIBRATION_GUARD,NO,NO
2026-07-29,2026-07-29T11:07:50+01:00,4,1494709,Aalesund,Viking,LOW,LINEUPS_INACTIVE; LOW_LEAGUE_RELIABILITY; PARTIAL_RECENT_STATS,LIVE_ONLY_OR_SYMBOLIC,L7_SOFT_DOWN,AWAY_WIN,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,NO_CLEAR_STAT_MARKET,NONE,NO_BET,NO_STAKE,-34,stat_score=12; confidence=LOW 56.7; portfolio=LIVE_ONLY_OR_SYMBOLIC; low forecast confidence blocks execution; watch only; candidate_provenance_ceiling=max_permission=NO_BET; origin=OBJECTIVE_PROXY,CANDIDATE_PROVENANCE_CEILING,DATED_INPUT_ONLY; CANDIDATE_PROVENANCE_CEILING,NO,NO
