target_date,generated_at,source_name,import_reason,rows,fixture_count,accepted_rows,quarantined_rows,avg_quality_score,parser_failure_class,priority,recommended_action,example_notes,auto_apply,production_change
2026-07-29,2026-07-29T11:10:46+01:00,sportsmole,OK,6,3,6,0,1.000,ACCEPTED_SIGNAL,NONE,No parser action required.,"fuzzy_official_overlap=8/11;promotion_gate=8/11;matches=saunes~eirik franke saunes:0.96,skaret~brage skaret:0.96,schneid | fuzzy_official_overlap=10/11;promotion_gate=8/11;matches=marcelinho~marcelinho:1.00,ze ivaldo~zé ivaldo:1.00,mayk~mayk:1 | fuzzy_official_overlap=8/11;promotion_gate=8/11;matches=jamerson~jamerson:1.00,caca~cacá:1.00,ramon~ramon:1.00,ze vitor~",NO,NO
2026-07-29,2026-07-29T11:10:46+01:00,sportsmole,official_overlap_too_low,3,1,6,3,0.182,PARSER_EXTRACTION_FAILURE,HIGH,Keep rows quarantined; improve page section targeting and do not downgrade source reliability from these rows.,"fuzzy_official_overlap=2/11;promotion_gate=8/11;matches=rasch~robin rasch:0.96,hjorth~jonas lange hjorth:0.96 | fuzzy_official_overlap=2/11;promotion_gate=8/11;matches=njie~bilal njie:0.96,rasch~robin rasch:0.96 | fuzzy_official_overlap=2/11;promotion_gate=8/11;matches=hestad~eirik hestad:0.96,breivik~emil breivik:0.96",NO,NO
