target_date,generated_at,fixture_id,league,country,home_team,away_team,team_side,source_name,source_url,probable_xi,discovery_status,extract_status,notes,auto_apply,production_change
2026-07-29,2026-07-29T23:28:02+01:00,1494711,,,KFUM Oslo,Molde,home,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/kfum-vs-molde-prediction-team-news-lineups_601771.html,Odegaard; Saunes; Skaret; Schneider; Sjokvist; Rasch; Soras; Hjorth; Vinge; Grodem; Njie,URL_DISCOVERED:generic,EXTRACTED,"KFUM Oslo vs Molde - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
2026-07-29,2026-07-29T23:28:02+01:00,1494711,,,KFUM Oslo,Molde,away,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/kfum-vs-molde-prediction-team-news-lineups_601771.html,Posiadala; Lovik; Amundsen; Hansen; Kabini; Daga; Breivik; Hestad; Granaas; Diop; Abdullai,URL_DISCOVERED:generic,EXTRACTED,"KFUM Oslo vs Molde - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
2026-07-29,2026-07-29T23:28:02+01:00,1494711,,,KFUM Oslo,Molde,home,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_576343.html,Odegaard; Aleesami; Berglie; Tonnessen; Hoseth; Sandal; Rasch; Hjorth; Hickson; Okeke; Nunez,URL_DISCOVERED:sportsmole,EXTRACTED,"Molde vs KFUM Oslo - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
2026-07-29,2026-07-29T23:28:02+01:00,1494711,,,KFUM Oslo,Molde,away,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_576343.html,Karlstrom; Bjornbak; Oyvann; Haugan; Amundsen; Granaas; Daga; Eikrem; Sery; Gulbrandsen; Hestad,URL_DISCOVERED:sportsmole,EXTRACTED,"Molde vs KFUM Oslo - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
2026-07-29,2026-07-29T23:28:02+01:00,1494711,,,KFUM Oslo,Molde,home,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_548460.html,Odegaard; Njie; A Aleesami; H Aleesami; Hoseth; Hestnes; Rasch; Hickson; Haltvik; Dahl; Nunez,URL_DISCOVERED:sportsmole,EXTRACTED,"Molde vs. KFUM Oslo - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
2026-07-29,2026-07-29T23:28:02+01:00,1494711,,,KFUM Oslo,Molde,away,sportsmole,https://www.sportsmole.co.uk/football/molde/preview/molde-vs-kfum-prediction-team-news-lineups_548460.html,Posiadala; Amundsen; Oyvann; Lund; Linnes; Hestad; Daehli; Breivik; Lovik; Planar; Eikrem,URL_DISCOVERED:sportsmole,EXTRACTED,"Molde vs. KFUM Oslo - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
2026-07-29,2026-07-29T23:28:02+01:00,1492307,,,Remo,Vitoria,home,sportsmole,https://www.sportsmole.co.uk/football/remo/preview/remo-vs-vitoria-prediction-team-news-lineups_601845.html,Rangel; Marcelinho; Ze Ivaldo; Felipe; Mayk; Ze Welison; Patrick; Ze Ricardo; Pikachu; Jaja; Manga,URL_DISCOVERED:generic,EXTRACTED,"Preview: Remo vs Vitoria - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
2026-07-29,2026-07-29T23:28:02+01:00,1492307,,,Remo,Vitoria,away,sportsmole,https://www.sportsmole.co.uk/football/remo/preview/remo-vs-vitoria-prediction-team-news-lineups_601845.html,Arcanjo; Jamerson; Caca; Candido; Ramon; Baralhas; Ze Vitor; Pochettino; Erick; Matheuzinho; Kayzer,URL_DISCOVERED:generic,EXTRACTED,"Preview: Remo vs Vitoria - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
2026-07-29,2026-07-29T23:28:02+01:00,1492307,,,Remo,Vitoria,away,sportsmole,https://www.sportsmole.co.uk/football/vitoria/preview/vitoria-vs-palmeiras-prediction-team-news-lineups_602011.html,Arcanjo; Jamerson; Caca; Luan Candido; Ramon; Martinez; Gabriel Baralhas; Ze Vitor; Erick; Tarzia; Rene,URL_DISCOVERED:sportsmole,EXTRACTED,"Preview: Vitoria vs Palmeiras - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
2026-07-29,2026-07-29T23:28:02+01:00,1492307,,,Remo,Vitoria,home,sportsmole,https://www.sportsmole.co.uk/football/mirassol/preview/mirassol-vs-remo-prediction-team-news-lineups_602018.html,Marcelo Rangel; Marcelo Rodrigues; Marllon Borges; Ze Ivaldo; Mayk; Ze Welison; Leonel Picco; Ze Ricardo; Yago Pikachu; Jaja; Alef Manga,URL_DISCOVERED:sportsmole,EXTRACTED,"Preview: Mirassol vs Remo - prediction, team news, lineups | relevance=RELEVANT_FIXTURE_PAGE | method=sportsmole_structured_section",NO,NO
