target_date,generated_at,fixture_id,home_team,away_team,league,quota_policy_decision,planned_mode,allowlist_status,allowlist_mode,quota_units_reserved,external_calls_executed,allowlist_reason,auto_apply,production_change
2026-06-02,2026-06-03T15:19:51+01:00,1546308,Al Kahrabaa,Al-Karma,Iraqi League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1546310,Al Quwa Al Jawiya,Zakho,Iraqi League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1546311,Al Shorta,Al Minaa Basra,Iraqi League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1546309,Erbil,Baghdad,Iraqi League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1546307,Gharraf,Naft Maysan,Iraqi League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1513457,USM Alger,CR Belouizdad,Ligue 1,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1545725,Afrique Football Élite,Diarra,Première Division,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1545720,Djoliba,Binga,Première Division,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1499444,Deportivo Merlo,Deportivo Laferrere,Primera B Metropolitana,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1547199,Union Brescia,Ascoli,Serie C - Promotion - Play-offs,MANUAL_REVIEW_REQUIRED,NO_AUTO_ENRICHMENT,BLOCKED_BY_POLICY,NO_ACTION,0,NO,Row is not allowlisted by quota/risk policy.,NO,NO
