variant,n,logloss,brier,delta,lo,hi,verdict
V0 (nacional prior=prod),1424,0.24580157619658366,0.07054261428976323,0.0,,,baseline
V1 (blend K*=40000),1424,0.24417517590445154,0.0719668231637135,0.0016264002921321198,-0.0062247670863339434,0.008734850935578312,NO adoptar (IC incluye 0)
V2 (club-2022-only),1424,0.26398436664190833,0.07405965457026374,-0.01818279044532461,-0.03452457681142623,-0.002406176008733577,PEOR que V0 (IC excluye 0 por debajo)
