stat,feature,n_oos,rmse,d_rmse_pct,verdict
corners,baseline,1298,2.8469,0.0,BASELINE
corners,+poss_form,1206,2.8388,0.29,discard
corners,+sot_form,1206,2.8379,0.32,discard
corners,+rest,1298,2.8473,-0.01,discard
corners,+opp_str,1298,2.7289,4.14,KEEP
shots,baseline,1290,5.5449,0.0,BASELINE
shots,+poss_form,1198,5.5037,0.74,KEEP
shots,+sot_form,1198,5.4791,1.19,KEEP
shots,+rest,1290,5.5554,-0.19,discard
shots,+opp_str,1290,5.0717,8.53,KEEP
