player_id,name,club_minutes,n_club_comps,g90_club,a90_club,sh90_club,son90_club,c90_club,nat_minutes,g90_nat,a90_nat,sh90_nat,son90_nat,c90_nat
184,H. Kane,4407.0,6,1.30701,0.16338,3.34922,2.43022,0.08169,59.0,1.52542,0.0,1.52542,1.52542,0.0
907,R. Lukaku,74.0,3,1.21622,0.0,3.64865,2.43243,1.21622,0.0,0.0,0.0,0.0,0.0,0.0
35532,J. Quiñones,2724.0,1,1.09031,0.13216,3.5022,1.94934,0.13216,285.0,0.0,0.31579,1.26316,0.31579,0.31579
72128,I. Sergeev,952.0,2,1.03992,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
278,Kylian Mbappé,3755.0,5,1.03063,0.14381,3.90679,2.3968,0.16778,0.0,0.0,0.0,0.0,0.0,0.0
422572,K. Shiogai,878.0,3,1.02506,0.0,2.56264,2.05011,0.41002,0.0,0.0,0.0,0.0,0.0,0.0
186,Son Heung-Min,1103.0,1,0.97915,0.24479,2.69266,2.12149,0.0,361.0,0.74792,0.24931,0.99723,0.74792,0.0
73868,R. Pepi,1775.0,4,0.96338,0.10141,2.89014,2.02817,0.0507,13.0,0.0,0.0,0.0,0.0,0.0
874,Cristiano Ronaldo,4744.0,4,0.94857,0.09486,4.05987,2.0489,0.09486,0.0,0.0,0.0,0.0,0.0,0.0
284072,B. Dieng,1429.0,2,0.94472,0.06298,3.27502,1.88943,0.25192,0.0,0.0,0.0,0.0,0.0,0.0
154,L. Messi,3978.0,5,0.9276,0.52036,3.43891,2.23982,0.11312,176.0,0.51136,1.53409,4.09091,2.04545,0.0
291713,A. González,2586.0,3,0.90487,0.06961,3.48028,1.77494,0.13921,30.0,0.0,0.0,0.0,0.0,0.0
153,O. Dembélé,2520.0,7,0.89286,0.42857,3.28571,1.75,0.03571,0.0,0.0,0.0,0.0,0.0,0.0
19974,I. Toney,3558.0,3,0.86003,0.25295,2.45363,1.44182,0.15177,8.0,0.0,0.0,11.25,0.0,0.0
1100,E. Haaland,4473.0,6,0.84507,0.18109,3.1992,1.93159,0.04024,45.0,2.0,0.0,2.0,2.0,0.0
1496,Raphinha,2290.0,5,0.82533,0.27511,3.22271,1.61135,0.19651,0.0,0.0,0.0,0.0,0.0,0.0
47237,L. Suárez,4089.0,3,0.77036,0.17608,3.30154,1.80484,0.24211,139.0,0.0,0.0,0.64748,0.0,0.64748
57910,T. Rodríguez,355.0,1,0.76056,0.0,2.28169,1.01408,0.25352,90.0,2.0,0.0,3.0,2.0,0.0
45078,R. Stewart,1352.0,3,0.73225,0.1997,2.13018,1.39793,0.13314,0.0,0.0,0.0,0.0,0.0,0.0
