fixture_id,team_id,opp_id,is_home,xg
1489378,22,4673,1,1.5
1489378,4673,22,0,1.24
1489379,23,7,1,0.66
1489379,7,23,0,1.72
1489377,1,32,1,1.35
1489377,32,1,0,1.08
1489380,9,1533,1,2.1
1489380,1533,9,0,0.2
1539002,5,28,1,1.33
1539002,28,5,0,0.28
1489375,1501,2382,1,1.52
1489375,2382,1501,0,1.01
1489376,1118,12,1,0.78
1489376,12,1118,0,0.59
1489374,25,5530,1,4.22
1489374,5530,25,0,0.41
1539001,20,777,1,1.18
1539001,777,20,0,1.36
1489372,2386,1108,1,1.05
1489372,1108,2386,0,1.05
1489371,6,31,1,1.26
1489371,31,6,0,1.37
1489373,1569,15,1,0.6
1489373,15,1569,0,3.2
1489370,2384,2380,1,1.42
1489370,2380,2384,0,0.54
1539000,5529,1113,1,1.23
1539000,1113,5529,0,0.96
1538999,17,770,1,2.3
1538999,770,17,0,0.83
1489369,16,1531,1,1.46
1489369,1531,16,0,0.07
1525494,10,29,1,
1525494,29,10,0,
1540358,27,19,1,
1540358,19,27,0,
1540357,26,18,1,
1540357,18,26,0,
1544367,1508,2383,1,
1544367,2383,1508,0,
1542183,2,771,1,
1542183,771,2,0,
1544812,1118,1568,1,
1544812,1568,1118,0,
1528288,8,1548,1,
1528288,1548,8,0,
1542182,2382,5161,1,
1542182,5161,2382,0,
1540950,31,1090,1,
1540950,1090,31,0,
1512768,3,1091,1,
1512768,1091,3,0,
1540355,26,4672,1,
1540355,4672,26,0,
1543829,2379,777,1,
1543829,777,2379,0,
1528287,6,32,1,
1528287,32,6,0,
1525492,10,4673,1,
1525492,4673,10,0,
1544361,1569,5159,1,
1544361,5159,1569,0,
1540949,2381,1108,1,
1540949,1108,2381,0,
1542181,15,20,1,
1542181,20,15,0,
1502474,2384,25,1,
1502474,25,2384,0,
1528286,27,2383,1,
1528286,2383,27,0,
1512767,1,28,1,
1512767,28,1,0,
1544811,2386,30,1,
1544811,30,2386,0,
1528285,5529,776,1,
1528285,776,5529,0,
1528284,16,14,1,
1528284,14,16,0,
1536931,2,1501,1,
1536931,1501,2,0,
1544359,9,1567,1,
1544359,1567,9,0,
1542552,5,1117,1,
1542552,1117,5,0,
1544807,17,5159,1,
1544807,5159,17,0,
1536930,1118,1532,1,
1536930,1532,1118,0,
1544806,2386,4673,1,
1544806,4673,2386,0,
1536929,767,1504,1,1.52
1536929,1504,767,0,1.79
1545264,31,1490,1,
1545264,1490,31,0,
1512766,3,1,1,0.43
1512766,1,3,0,0.85
1514472,5529,1568,1,
1514472,1568,5529,0,
1537648,8,29,1,
1537648,29,8,0,
1511733,775,28,1,
1511733,28,775,0,
1543821,777,1105,1,
1543821,1105,777,0,
1536927,1090,5,1,
1536927,5,1090,0,
1536926,6,11,1,
1536926,11,6,0,
1503008,2384,13,1,
1503008,13,2384,0,
1501818,25,1099,1,
1501818,1099,25,0,
1528283,15,1548,1,
1528283,1548,15,0,
1540351,12,18,1,
1540351,18,12,0,
1527865,16,20,1,
1527865,20,16,0,
1545263,17,5168,1,
1545263,5168,17,0,
1540948,2382,23,1,
1540948,23,2382,0,
1511779,1108,5530,1,
1511779,5530,1108,0,
1540947,1113,1105,1,
1540947,1105,1113,0,
1543817,1531,5164,1,
1543817,5164,1531,0,
1528282,776,1569,1,
1528282,1569,776,0,
1543816,32,4,1,
1543816,4,32,0,
1528281,16,1504,1,
1528281,1504,16,0,
1514471,16,1,1,
1514471,1,16,0,
1536923,26,1507,1,
1536923,1507,26,0,
1503004,2384,27,1,
1503004,27,2384,0,
1537582,1508,2385,1,
1537582,2385,1508,0,
1511778,9,32,1,
1511778,32,9,0,
1537580,1111,777,1,
1537580,777,1111,0,
1502473,10,12,1,
1502473,12,10,0,
1511732,775,17,1,
1511732,17,775,0,
1503007,1118,2382,1,
1503007,2382,1118,0,
1537581,5,24,1,1.52
1537581,24,5,0,1.36
1537579,770,21,1,
1537579,21,770,0,
1537578,1113,768,1,
1537578,768,1113,0,
1528278,1108,1501,1,
1528278,1501,1108,0,
