fixture_id,player_id,player_name,team,team_id,position,referee_name,probability_card_original,probability_card_adjusted,adjustment_direction,abs_adjustment,label_card,confidence,data_quality
1489410,16367,W. Pacho,Ecuador,2382,DEF,"Tori Penso, USA",0.1163,0.1183,neutro,0.002,0,media-baja,baja
1489410,16360,A. Franco,Ecuador,2382,DEF,"Tori Penso, USA",0.1242,0.1307,subir,0.0065,1,media-baja,media
1489410,25414,J. Yeboah,Ecuador,2382,MID,"Tori Penso, USA",0.1682,0.1703,neutro,0.0021,0,media-baja,media
1489410,127817,P. Hincapié,Ecuador,2382,DEF,"Tori Penso, USA",0.1345,0.1369,neutro,0.0024,1,media-baja,baja
1489410,2583,A. Preciado,Ecuador,2382,DEF,"Tori Penso, USA",0.0507,0.0516,neutro,0.0009,0,media-baja,baja
1489410,116117,M. Caicedo,Ecuador,2382,MID,"Tori Penso, USA",0.4552,0.4768,subir,0.0216,0,media-baja,baja
1489410,35533,E. Valencia,Ecuador,2382,FWD,"Tori Penso, USA",0.2825,0.2747,bajar,0.0078,0,media-baja,baja
1489410,63964,F. Torres,Ecuador,2382,DEF,"Tori Penso, USA",0.0574,0.0584,neutro,0.001,0,media-baja,baja
1489410,406303,K. Páez,Ecuador,2382,MID,"Tori Penso, USA",0.2431,0.2546,subir,0.0115,0,media-baja,baja
1489410,354027,J. Ordoñez,Ecuador,2382,DEF,"Tori Penso, USA",0.1749,0.178,neutro,0.0031,0,media-baja,baja
1489410,280695,A. Minda,Ecuador,2382,FWD,"Tori Penso, USA",0.0803,0.0793,neutro,0.001,0,media-baja,baja
1489410,502,J. Kimmich,Germany,25,DEF,"Tori Penso, USA",0.0667,0.0645,bajar,0.0022,0,media-baja,baja
1489410,972,J. Tah,Germany,25,DEF,"Tori Penso, USA",0.3278,0.3221,neutro,0.0057,0,media-baja,baja
1489410,203224,F. Wirtz,Germany,25,FWD,"Tori Penso, USA",0.2262,0.2121,bajar,0.0141,0,media-baja,baja
1489410,2285,A. Rüdiger,Germany,25,DEF,"Tori Penso, USA",0.3099,0.3045,neutro,0.0054,0,media-baja,baja
1489410,181812,J. Musiala,Germany,25,FWD,"Tori Penso, USA",0.0362,0.0339,bajar,0.0023,0,media-baja,baja
1489410,978,K. Havertz,Germany,25,FWD,"Tori Penso, USA",0.0413,0.0379,bajar,0.0034,0,media-baja,media
1489410,25158,D. Raum,Germany,25,MID,"Tori Penso, USA",0.2652,0.2685,neutro,0.0033,0,media-baja,baja
1489410,702,O. Baumann,Germany,25,GK,"Tori Penso, USA",0.0445,0.0437,neutro,0.0008,0,baja,baja
1489410,26243,N. Schlotterbeck,Germany,25,DEF,"Tori Penso, USA",0.3622,0.3504,bajar,0.0118,0,media-baja,baja
1489410,511,L. Goretzka,Germany,25,MID,"Tori Penso, USA",0.1466,0.1484,neutro,0.0018,0,media-baja,baja
1489410,644,L. Sané,Germany,25,MID,"Tori Penso, USA",0.0538,0.0526,bajar,0.0012,0,media-baja,media
1489409,309763,L. Comenencia,Curaçao,5530,MID,"Glenn Nyberg, Sweden",0.1221,0.1319,subir,0.0098,0,media-baja,media
1489409,163220,J. Antonisse,Curaçao,5530,FWD,"Glenn Nyberg, Sweden",0.4484,0.4418,neutro,0.0066,0,media-baja,baja
1489409,706,J. Brenet,Curaçao,5530,DEF,"Glenn Nyberg, Sweden",0.0439,0.0439,neutro,0.0,0,media-baja,baja
1489409,36857,J. Gaari,Curaçao,5530,DEF,"Glenn Nyberg, Sweden",0.16,0.168,subir,0.008,0,media-baja,media
1489409,195067,J. Margaritha,Curaçao,5530,FWD,"Glenn Nyberg, Sweden",0.0498,0.0491,neutro,0.0007,0,media-baja,baja
1489409,19047,J. Bacuna,Curaçao,5530,MID,"Glenn Nyberg, Sweden",0.2733,0.2952,subir,0.0219,1,media-baja,media
1489409,41627,K. Gorré,Curaçao,5530,FWD,"Glenn Nyberg, Sweden",0.0568,0.056,neutro,0.0008,0,media-baja,baja
1489409,221,E. Room,Curaçao,5530,GK,"Glenn Nyberg, Sweden",0.059,0.0599,neutro,0.0009,0,baja,baja
