module,n,rows_to_min_sample,metric_original_mae,metric_corrected_mae_pre_fixture,delta_mae_pre_fixture,delta_rmse_pre_fixture,original_bias,corrected_bias_pre_fixture,bias_reduction,direction_stable,sample_gate,improvement_gate,bias_gate,no_strong_bias_inversion_gate,anti_lookahead_available,data_quality,confidence,readiness_status,reason
team_sot_display_correction,100,0,1.901,1.9093,0.0351,-0.0253,0.3524,-0.105,0.2474,True,True,False,True,True,True,evaluable,baja,NOT_READY_NO_SIGNAL,n>= 50 pero ΔMAE pre_fixture < 0.15: sin señal material.
team_shots_display_correction,70,0,6.9549,4.8844,1.8956,2.2465,-6.0626,0.3341,5.7285,True,True,True,True,True,True,evaluable,media,READY_FOR_PROPOSAL,"todas las puertas OK -> candidata a PROPUESTA de activación (🔴, fase posterior)."
team_corners_display_correction,70,0,3.059,2.7577,0.3939,0.5829,-2.1493,-0.4646,1.6847,True,True,True,True,True,True,evaluable,media,READY_FOR_PROPOSAL,"todas las puertas OK -> candidata a PROPUESTA de activación (🔴, fase posterior)."
