tag,season,group,fixture_id,date,home,away,scenario_home,scenario_away,mult_home,mult_away,nontrivial,result_1x2,gh,ga,l3_home,l3_draw,l3_away,l3_xg_home,l3_xg_away,l3_over25,ctx_home,ctx_draw,ctx_away,ctx_xg_home,ctx_xg_away,ctx_over25
AFCON,2025,AFCON2025#G0,1347263,2025-12-29,Zambia,Morocco,le_vale_empate,le_vale_empate,0.97,0.97,1,A,0.0,3.0,0.0295,0.1082,0.8623,0.085,2.574,0.4961,0.0295,0.1082,0.8623,0.082,2.496,0.4762
AFCON,2025,AFCON2025#G0,1347264,2025-12-29,Comoros,Mali,debe_ganar,tercero_en_disputa,1.08,1.0,1,D,0.0,0.0,0.064,0.1856,0.7504,0.472,2.186,0.4961,0.072,0.1862,0.7418,0.51,2.186,0.5054
AFCON,2025,AFCON2025#G1,1347265,2025-12-29,Angola,Egypt,debe_ganar,ya_clasificado,1.08,0.92,1,D,0.0,0.0,0.2731,0.2759,0.451,1.063,1.596,0.4961,0.3065,0.3054,0.3881,1.148,1.468,0.4855
AFCON,2025,AFCON2025#G1,1347266,2025-12-29,Zimbabwe,South Africa,tercero_en_disputa,le_vale_empate,1.0,0.97,1,A,2.0,3.0,0.1596,0.243,0.5975,0.751,1.907,0.4961,0.1696,0.257,0.5734,0.751,1.85,0.4819
AFCON,2025,AFCON2025#G2,1347269,2025-12-30,Benin,Senegal,tercero_en_disputa,le_vale_empate,1.0,0.97,1,A,0.0,3.0,0.0651,0.1857,0.7492,0.476,2.182,0.4961,0.0702,0.1913,0.7385,0.476,2.117,0.4798
AFCON,2025,AFCON2025#G2,1347270,2025-12-30,Botswana,Congo DR,eliminado,le_vale_empate,0.95,0.97,1,A,0.0,3.0,0.0991,0.1859,0.715,0.57,2.088,0.4961,0.0981,0.1883,0.7136,0.542,2.025,0.4733
AFCON,2025,AFCON2025#G3,1347268,2025-12-30,Tanzania,Tunisia,tercero_en_disputa,le_vale_empate,1.0,0.97,1,D,1.0,1.0,0.0924,0.1879,0.7197,0.559,2.1,0.4961,0.1047,0.1883,0.707,0.559,2.037,0.4804
AFCON,2025,AFCON2025#G3,1347267,2025-12-30,Uganda,Nigeria,debe_ganar,ya_clasificado,1.08,0.92,1,A,1.0,3.0,0.1984,0.2503,0.5514,0.869,1.789,0.4961,0.2375,0.248,0.5145,0.939,1.646,0.4778
AFCON,2025,AFCON2025#G4,1347272,2025-12-31,Sudan,Burkina Faso,tercero_en_disputa,le_vale_empate,1.0,0.97,1,A,0.0,2.0,0.1589,0.1928,0.6483,0.661,1.997,0.4961,0.1566,0.2066,0.6368,0.661,1.937,0.4812
AFCON,2025,AFCON2025#G4,1347271,2025-12-31,Equatorial Guinea,Algeria,debe_ganar,le_vale_empate,1.08,0.97,1,A,1.0,3.0,0.0635,0.1132,0.8233,0.295,2.363,0.4961,0.0632,0.1216,0.8152,0.319,2.292,0.4844
