tag,season,group,fixture_id,date,home,away,scenario_home,scenario_away,mult_home,mult_away,nontrivial,result_1x2,gh,ga,l3_home,l3_draw,l3_away,l3_xg_home,l3_xg_away,l3_over25,ctx_home,ctx_draw,ctx_away,ctx_xg_home,ctx_xg_away,ctx_over25
GoldCup,2021,GoldCup2021#G0,723379,2021-07-19,Guatemala,Trinidad and Tobago,eliminado,tercero_en_disputa,0.95,1.0,1,D,1.0,1.0,0.5592,0.2527,0.1881,1.702,0.956,0.4961,0.5173,0.2644,0.2183,1.617,0.956,0.4748
GoldCup,2021,GoldCup2021#G1,704147,2021-07-18,USA,Canada,intrascendente,intrascendente,0.9,0.9,1,H,1.0,0.0,0.2492,0.2496,0.5013,0.994,1.664,0.4961,0.241,0.2891,0.4699,0.895,1.498,0.4283
GoldCup,2021,GoldCup2021#G1,723378,2021-07-18,Martinique,Haiti,eliminado,tercero_en_disputa,0.95,1.0,1,A,1.0,2.0,0.1799,0.2558,0.5643,0.794,1.864,0.4961,0.1673,0.2569,0.5758,0.754,1.864,0.4863
GoldCup,2021,GoldCup2021#G2,704149,2021-07-20,Costa Rica,Jamaica,intrascendente,intrascendente,0.9,0.9,1,H,1.0,0.0,0.32,0.311,0.369,1.202,1.456,0.4961,0.3219,0.3049,0.3732,1.082,1.31,0.4283
GoldCup,2021,GoldCup2021#G2,723380,2021-07-20,Suriname,Guadeloupe,eliminado,tercero_en_disputa,0.95,1.0,1,H,2.0,1.0,0.4239,0.2976,0.2784,1.48,1.178,0.4961,0.3928,0.3081,0.2991,1.406,1.178,0.4776
GoldCup,2021,GoldCup2021#G3,704151,2021-07-21,Panama,Grenada,tercero_en_disputa,eliminado,1.0,0.95,1,H,3.0,1.0,0.7243,0.1904,0.0853,2.147,0.511,0.4961,0.7271,0.1878,0.0851,2.147,0.486,0.4898
GoldCup,2021,GoldCup2021#G3,704150,2021-07-21,Honduras,Qatar,ya_clasificado,le_vale_empate,0.92,0.97,1,A,0.0,2.0,0.2332,0.2507,0.5161,0.962,1.697,0.4961,0.2196,0.2512,0.5292,0.885,1.646,0.464
GoldCup,2023,GoldCup2023#G0,1023112,2023-07-02,USA,Trinidad and Tobago,le_vale_empate,tercero_en_disputa,0.97,1.0,1,H,6.0,0.0,0.7382,0.1764,0.0854,2.2,0.458,0.4961,0.7272,0.1881,0.0847,2.134,0.458,0.4797
GoldCup,2023,GoldCup2023#G0,1036611,2023-07-02,Jamaica,St. Kitts and Nevis,le_vale_empate,eliminado,0.97,0.95,1,H,5.0,0.0,0.5699,0.2465,0.1836,1.807,0.851,0.4961,0.569,0.2517,0.1793,1.753,0.808,0.4719
GoldCup,2023,GoldCup2023#G1,1023114,2023-07-03,Mexico,Qatar,ya_clasificado,tercero_en_disputa,0.92,1.0,1,A,0.0,1.0,0.5727,0.2479,0.1794,1.817,0.841,0.4961,0.5654,0.2487,0.1859,1.672,0.841,0.4595
GoldCup,2023,GoldCup2023#G1,1023113,2023-07-03,Honduras,Haiti,debe_ganar,le_vale_empate,1.08,0.97,1,H,2.0,1.0,0.1892,0.2531,0.5577,0.813,1.846,0.4961,0.1983,0.2503,0.5513,0.878,1.79,0.4985
GoldCup,2023,GoldCup2023#G2,1023116,2023-07-05,Panama,El Salvador,ya_clasificado,tercero_en_disputa,0.92,1.0,1,D,2.0,2.0,0.4524,0.2762,0.2714,1.584,1.074,0.4961,0.4401,0.2946,0.2653,1.458,1.074,0.4643
GoldCup,2023,GoldCup2023#G2,1036613,2023-07-05,Costa Rica,Martinique,debe_ganar,le_vale_empate,1.08,0.97,1,H,6.0,4.0,0.5991,0.236,0.1649,1.919,0.739,0.4961,0.643,0.1958,0.1611,2.073,0.717,0.5281
GoldCup,2023,GoldCup2023#G3,1023115,2023-07-04,Canada,Cuba,tercero_en_disputa,eliminado,1.0,0.95,1,H,4.0,2.0,0.7243,0.1904,0.0853,2.147,0.511,0.4961,0.7271,0.1878,0.0851,2.147,0.485,0.4898
GoldCup,2023,GoldCup2023#G3,1036612,2023-07-04,Guadeloupe,Guatemala,le_vale_empate,le_vale_empate,0.97,0.97,1,A,2.0,3.0,0.3249,0.3053,0.3698,1.208,1.45,0.4961,0.3263,0.3025,0.3713,1.172,1.407,0.4762
