fixture_id,kickoff_utc,team_id,team_name,opponent_id,opponent_name,side,predicted_sot,actual_sot,error,abs_error,source_predicted,source_actual,data_quality,confidence,reason
1489402,,10,England,1504,Ghana,home,,3.0,,,none,fixture_statistics,actual_only_no_prediction,baja,SOT real disponible pero sin XI/props logueados -> no evaluable (no se empareja a posteriori)
1489402,,1504,Ghana,10,England,away,,1.0,,,none,fixture_statistics,actual_only_no_prediction,baja,SOT real disponible pero sin XI/props logueados -> no evaluable (no se empareja a posteriori)
1489403,,3,Croatia,11,Panama,away,,2.0,,,none,fixture_statistics,actual_only_no_prediction,baja,SOT real disponible pero sin XI/props logueados -> no evaluable (no se empareja a posteriori)
1489403,,11,Panama,3,Croatia,home,,1.0,,,none,fixture_statistics,actual_only_no_prediction,baja,SOT real disponible pero sin XI/props logueados -> no evaluable (no se empareja a posteriori)
1489421,2026-06-28 02:00,26,Argentina,1548,Jordan,away,6.605,2.0,4.6055,4.6055,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489421,2026-06-28 02:00,1548,Jordan,26,Argentina,home,1.977,1.0,0.9772,0.9772,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489422,2026-06-27 21:00,10,England,11,Panama,away,7.435,5.0,2.4348,2.4348,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1489422,2026-06-27 21:00,11,Panama,10,England,home,2.917,2.0,0.9173,0.9173,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1539011,2026-06-25 23:00,5,Sweden,12,Japan,away,3.029,5.0,-1.9711,1.9711,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1539011,2026-06-25 23:00,12,Japan,5,Sweden,home,5.366,3.0,2.3658,2.3658,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1539012,2026-06-26 02:00,777,Türkiye,2384,USA,home,5.149,2.0,3.1487,3.1487,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1539012,2026-06-26 02:00,2384,USA,777,Türkiye,away,4.257,3.0,1.2567,1.2567,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1539013,2026-06-27 23:30,1508,Congo DR,1568,Uzbekistan,home,4.37,3.0,1.37,1.37,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1539013,2026-06-27 23:30,1568,Uzbekistan,1508,Congo DR,away,2.987,1.0,1.987,1.987,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1539074,2026-06-26 19:00,13,Senegal,1567,Iraq,home,6.71,4.0,2.71,2.71,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1539074,2026-06-26 19:00,1567,Iraq,13,Senegal,away,2.063,1.0,1.0631,1.0631,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1561329,2026-06-28 19:00,1531,South Africa,5529,Canada,home,3.439,1.0,2.4388,2.4388,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
1561329,2026-06-28 19:00,5529,Canada,1531,South Africa,away,3.803,4.0,-0.1969,0.1969,player_sot_sum,player_shots_on_sum,evaluable,media,pred=Σλ_sot 11 jugadores (XI 11); real=Σ act_shots_on jugadores
