fixture_id,date,league_id,league_tag,season,neutral,home_id,home,away_id,away,gh,ga,venue_city
135777,2018-06-14T15:00:00+00:00,1,WC,2018,1,4,Russia,23,Saudi Arabia,5,0,Moskva
135778,2018-06-15T12:00:00+00:00,1,WC,2018,1,32,Egypt,7,Uruguay,0,1,Ekaterinburg
135779,2018-06-15T15:00:00+00:00,1,WC,2018,1,31,Morocco,22,Iran,0,1,St. Petersburg
135780,2018-06-15T18:00:00+00:00,1,WC,2018,1,27,Portugal,9,Spain,3,3,Sochi
135781,2018-06-16T10:00:00+00:00,1,WC,2018,1,2,France,20,Australia,2,1,Kazan'
135782,2018-06-16T13:00:00+00:00,1,WC,2018,1,26,Argentina,18,Iceland,1,1,Moskva
135783,2018-06-16T16:00:00+00:00,1,WC,2018,1,30,Peru,21,Denmark,0,1,Saransk
135784,2018-06-16T19:00:00+00:00,1,WC,2018,1,3,Croatia,19,Nigeria,2,0,Kaliningrad
135785,2018-06-17T12:00:00+00:00,1,WC,2018,1,29,Costa Rica,14,Serbia,0,1,Samara
135786,2018-06-17T15:00:00+00:00,1,WC,2018,1,25,Germany,16,Mexico,0,1,Moskva
135787,2018-06-17T18:00:00+00:00,1,WC,2018,1,6,Brazil,15,Switzerland,1,1,Rostov-na-Donu
135788,2018-06-18T12:00:00+00:00,1,WC,2018,1,5,Sweden,17,South Korea,1,0,Nizhniy Novgorod
135789,2018-06-18T15:00:00+00:00,1,WC,2018,1,1,Belgium,11,Panama,3,0,Sochi
135790,2018-06-18T18:00:00+00:00,1,WC,2018,1,28,Tunisia,10,England,1,2,Volgograd
135791,2018-06-19T12:00:00+00:00,1,WC,2018,1,8,Colombia,12,Japan,1,2,Saransk
135792,2018-06-19T15:00:00+00:00,1,WC,2018,1,24,Poland,13,Senegal,1,2,Moskva
135793,2018-06-19T18:00:00+00:00,1,WC,2018,1,4,Russia,32,Egypt,3,1,St. Petersburg
135794,2018-06-20T12:00:00+00:00,1,WC,2018,1,27,Portugal,31,Morocco,1,0,Moskva
135795,2018-06-20T15:00:00+00:00,1,WC,2018,1,7,Uruguay,23,Saudi Arabia,1,0,Rostov-na-Donu
135796,2018-06-20T18:00:00+00:00,1,WC,2018,1,22,Iran,9,Spain,0,1,Kazan'
135797,2018-06-21T12:00:00+00:00,1,WC,2018,1,21,Denmark,20,Australia,1,1,Samara
135798,2018-06-21T15:00:00+00:00,1,WC,2018,1,2,France,30,Peru,1,0,Ekaterinburg
135799,2018-06-21T18:00:00+00:00,1,WC,2018,1,26,Argentina,3,Croatia,0,3,Nizhniy Novgorod
135800,2018-06-22T12:00:00+00:00,1,WC,2018,1,6,Brazil,29,Costa Rica,2,0,St. Petersburg
135801,2018-06-22T15:00:00+00:00,1,WC,2018,1,19,Nigeria,18,Iceland,2,0,Volgograd
135802,2018-06-22T18:00:00+00:00,1,WC,2018,1,14,Serbia,15,Switzerland,1,2,Kaliningrad
135803,2018-06-23T12:00:00+00:00,1,WC,2018,1,1,Belgium,28,Tunisia,5,2,Moskva
135804,2018-06-23T15:00:00+00:00,1,WC,2018,1,17,South Korea,16,Mexico,1,2,Rostov-na-Donu
135805,2018-06-23T18:00:00+00:00,1,WC,2018,1,25,Germany,5,Sweden,2,1,Sochi
135806,2018-06-24T12:00:00+00:00,1,WC,2018,1,10,England,11,Panama,6,1,Nizhniy Novgorod
135807,2018-06-24T15:00:00+00:00,1,WC,2018,1,12,Japan,13,Senegal,2,2,Ekaterinburg
135808,2018-06-24T18:00:00+00:00,1,WC,2018,1,24,Poland,8,Colombia,0,3,Kazan'
