model,metric,d_mean,ic_lo,ic_hi,n
"FULL (8 flags, OLS)",Over2.5,-0.1056951212854533,-0.26805761899516595,0.052066082490655946,68
"FULL (8 flags, OLS)",BTTS,-0.10176819605254195,-0.22691827806247059,0.01342957594545818,68
"FULL (8 flags, OLS)",1X2,-0.04818704167552935,-0.15509484206207766,0.06147215823142715,68
FULL + ridge,Over2.5,-0.03604652988314018,-0.15644650744746916,0.07790602221989491,68
FULL + ridge,BTTS,-0.06480175373999379,-0.14965884159190748,0.015137194381462526,68
FULL + ridge,1X2,-0.02691337318185467,-0.0994628129152483,0.04777139417526249,68
PARSIMONIOSO (low_stakes + must_win),Over2.5,-0.0054923262354666085,-0.085253500371128,0.06837224750406957,68
PARSIMONIOSO (low_stakes + must_win),BTTS,-0.028075254372754113,-0.08341725838431652,0.025931276915451013,68
PARSIMONIOSO (low_stakes + must_win),1X2,-0.010746834345040677,-0.0544805375286754,0.03332584385642698,68
