variant,n,logloss,brier,delta,lo,hi,verdict
"V0 (nat-only, baseline)",462,0.2449871642626788,0.06788657055410723,0.0,,,baseline
V1 (blend K*=500),462,0.23003998395852138,0.0663549031743232,0.01494718030415747,-0.006221960026998802,0.03926673741183071,NO adoptar (IC incluye 0)
V2 (club-only),462,0.23298993834368928,0.06683170668228337,0.01199722591898958,-0.012783083973536554,0.039412705593022304,NO adoptar (IC incluye 0)
