referee_name,matches,fixtures,yellow_cards_total,red_cards_total,second_yellow_total,cards_total,yellow_cards_pg,red_cards_pg,cards_pg,penalties_total,penalties_pg,matches_with_penalty,penalty_match_rate,home_cards_total,away_cards_total,home_cards_pg,away_cards_pg,card_environment,penalty_environment,data_quality,confidence,reason,source
A. Makhadmeh,1,2,2,0,0,2,2.0,0.0,2.0,0,0.0,0,0.0,2.0,0.0,2.0,0.0,bajo,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
"Abdulrahman Al-Jassim, Qatar",1,1,3,0,0,3,3.0,0.0,3.0,0,0.0,0,0.0,2.0,1.0,2.0,1.0,bajo,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
"Alejandro Hernandez, Spain",1,1,4,0,0,4,4.0,0.0,4.0,0,0.0,0,0.0,1.0,3.0,1.0,3.0,medio,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
"Alireza Faghani, Australia",1,1,1,0,0,1,1.0,0.0,1.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,bajo,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
"Amin Mohamed Omar, Egypt",1,1,4,0,0,4,4.0,0.0,4.0,1,1.0,1,1.0,2.0,2.0,2.0,2.0,medio,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
"Anthony Taylor, England",1,1,4,1,0,5,4.0,1.0,5.0,0,0.0,0,0.0,2.0,3.0,2.0,3.0,medio,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
C. Turpin,1,1,2,0,0,2,2.0,0.0,2.0,0,0.0,0,0.0,1.0,1.0,1.0,1.0,bajo,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
"César Ramos Palazuelos, Mexico",1,1,3,0,0,3,3.0,0.0,3.0,0,0.0,0,0.0,1.0,2.0,1.0,2.0,bajo,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
"Danny Makkelie, Netherlands",1,1,3,0,0,3,3.0,0.0,3.0,0,0.0,0,0.0,0.0,3.0,0.0,3.0,bajo,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
"Dario Herrera, Argentina",1,1,2,1,0,3,2.0,1.0,3.0,0,0.0,0,0.0,2.0,1.0,2.0,1.0,bajo,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
"Drew Fischer, Canada",2,2,3,0,0,3,1.5,0.0,1.5,0,0.0,0,0.0,1.0,2.0,0.5,1.0,bajo,no determinado,baja,media-baja,"2 partidos, muestra reducida — orientativo",worldcup_events_auto
"Espen Eskas, Norway",1,1,4,0,0,4,4.0,0.0,4.0,0,0.0,0,0.0,2.0,2.0,2.0,2.0,medio,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
F. Letexier,1,1,4,0,0,4,4.0,0.0,4.0,0,0.0,0,0.0,1.0,3.0,1.0,3.0,medio,no determinado,baja,baja,"solo 1 partido, no extrapolar fuerte",worldcup_events_auto
