fixture_id,kickoff_utc,home,away,round,home_group,away_group,scenario_home,scenario_away,mult_home,mult_away,nontrivial,l3_home,l3_draw,l3_away,l3_xg_home,l3_xg_away,l3_over25,ctx_home,ctx_draw,ctx_away,ctx_xg_home,ctx_xg_away,ctx_over25,logged_at_utc,pred_policy,pred_lead_min,result_ft_gh,result_ft_ga,result_1x2,result_status,settled,settled_at_utc
1565177,2026-06-30 21:00,France,Sweden,Round of 32,Group I,Group F,knockout,knockout,1.0,1.0,0,0.5849,0.2516,0.1635,1.822,0.781,0.4825,0.5849,0.2516,0.1635,1.822,0.781,0.4825,2026-06-30T16:50:08+00:00,last_preko,249,3.0,0.0,H,FT,1,2026-07-01T09:01:11+00:00
1567306,2026-07-01 01:00,Mexico,Ecuador,Round of 32,Group A,Group E,knockout,knockout,1.0,1.0,0,0.3566,0.3045,0.339,1.162,1.232,0.4287,0.3566,0.3045,0.339,1.162,1.232,0.4287,2026-06-30T16:50:08+00:00,last_preko,489,2.0,0.0,H,FT,1,2026-07-01T09:01:11+00:00
1567307,2026-07-01 16:00,England,Congo DR,Round of 32,Group L,Group K,knockout,knockout,1.0,1.0,0,0.596,0.2395,0.1645,1.896,0.745,0.4917,0.596,0.2395,0.1645,1.896,0.745,0.4917,2026-07-01T13:30:45+00:00,last_preko,149,2.0,1.0,H,FT,1,2026-07-02T10:45:57+00:00
1567308,2026-07-01 20:00,Belgium,Senegal,Round of 32,Group G,Group I,knockout,knockout,1.0,1.0,0,0.4513,0.2766,0.2721,1.403,1.038,0.4409,0.4513,0.2766,0.2721,1.403,1.038,0.4409,2026-07-01T13:30:45+00:00,last_preko,389,2.0,2.0,D,AET,1,2026-07-02T10:45:57+00:00
1562586,2026-07-02 00:00,USA,Bosnia & Herzegovina,Round of 32,Group D,Group B,knockout,knockout,1.0,1.0,0,0.5227,0.2521,0.2252,1.575,0.922,0.4554,0.5227,0.2521,0.2252,1.575,0.922,0.4554,2026-07-01T13:30:45+00:00,last_preko,629,2.0,0.0,H,FT,1,2026-07-02T10:45:57+00:00
1567311,2026-07-02 19:00,Spain,Austria,Round of 32,Group H,Group J,knockout,knockout,1.0,1.0,0,0.7095,0.1928,0.0977,2.118,0.647,0.522,0.7095,0.1928,0.0977,2.118,0.647,0.522,2026-07-02T10:45:57+00:00,last_preko,494,3.0,0.0,H,FT,1,2026-07-03T10:41:09+00:00
1567309,2026-07-02 23:00,Portugal,Croatia,Round of 32,Group K,Group L,knockout,knockout,1.0,1.0,0,0.4954,0.2389,0.2656,1.545,0.941,0.4525,0.4954,0.2389,0.2656,1.545,0.941,0.4525,2026-07-02T10:45:57+00:00,last_preko,734,2.0,1.0,H,FT,1,2026-07-03T10:41:09+00:00
1567312,2026-07-03 03:00,Switzerland,Algeria,Round of 32,Group B,Group J,knockout,knockout,1.0,1.0,0,0.3297,0.3012,0.3691,1.068,1.338,0.4318,0.3297,0.3012,0.3691,1.068,1.338,0.4318,2026-07-02T10:45:57+00:00,last_preko,974,2.0,0.0,H,FT,1,2026-07-03T10:41:09+00:00
1565178,2026-07-03 18:00,Australia,Egypt,Round of 32,Group D,Group G,knockout,knockout,1.0,1.0,0,0.3604,0.3033,0.3364,1.278,1.133,0.4333,0.3604,0.3033,0.3364,1.278,1.133,0.4333,2026-07-03T10:41:09+00:00,last_preko,438,1.0,1.0,D,PEN,1,2026-07-04T10:14:32+00:00
1565179,2026-07-03 22:00,Argentina,Cape Verde Islands,Round of 32,Group J,Group H,knockout,knockout,1.0,1.0,0,0.7842,0.1284,0.0875,2.439,0.533,0.5705,0.7842,0.1284,0.0875,2.439,0.533,0.5705,2026-07-03T10:41:09+00:00,last_preko,678,1.0,1.0,D,AET,1,2026-07-04T10:14:32+00:00
1567310,2026-07-04 01:30,Colombia,Ghana,Round of 32,Group K,Group L,knockout,knockout,1.0,1.0,0,0.7842,0.1284,0.0875,2.424,0.538,0.5682,0.7842,0.1284,0.0875,2.424,0.538,0.5682,2026-07-03T10:41:09+00:00,last_preko,888,1.0,0.0,H,FT,1,2026-07-04T10:14:32+00:00
1567824,2026-07-04 17:00,Canada,Morocco,Round of 16,Group B,Group C,knockout,knockout,1.0,1.0,0,0.1539,0.2182,0.6279,0.696,1.901,0.4809,0.1539,0.2182,0.6279,0.696,1.901,0.4809,2026-07-04T14:12:44+00:00,last_preko,167,0.0,3.0,A,FT,1,2026-07-05T10:02:48+00:00
1569870,2026-07-04 21:00,Paraguay,France,Round of 16,Group D,Group I,knockout,knockout,1.0,1.0,0,0.0601,0.1667,0.7733,0.517,2.306,0.5362,0.0601,0.1667,0.7733,0.517,2.306,0.5362,2026-07-04T14:12:44+00:00,last_preko,407,0.0,1.0,A,FT,1,2026-07-05T10:02:48+00:00
1568100,2026-07-05 20:00,Brazil,Norway,Round of 16,Group C,Group I,knockout,knockout,1.0,1.0,0,0.5708,0.2455,0.1837,1.701,0.847,0.4684,0.5708,0.2455,0.1837,1.701,0.847,0.4684,2026-07-05T10:17:09+00:00,last_preko,582,1.0,2.0,A,FT,1,2026-07-06T12:09:30+00:00
1570714,2026-07-06 00:00,Mexico,England,Round of 16,Group A,Group L,knockout,knockout,1.0,1.0,0,0.2642,0.2392,0.4965,0.925,1.524,0.4431,0.2642,0.2392,0.4965,0.925,1.524,0.4431,2026-07-05T10:17:09+00:00,last_preko,822,2.0,3.0,A,FT,1,2026-07-06T12:09:30+00:00
1576756,2026-07-06 19:00,Portugal,Spain,Round of 16,Group K,Group H,knockout,knockout,1.0,1.0,0,0.2686,0.2749,0.4565,0.969,1.464,0.4388,0.2686,0.2749,0.4565,0.969,1.464,0.4388,2026-07-06T12:09:29+00:00,last_preko,410,0.0,1.0,A,FT,1,2026-07-07T11:01:09+00:00
1570715,2026-07-07 00:00,USA,Belgium,Round of 16,Group D,Group G,knockout,knockout,1.0,1.0,0,0.198,0.2515,0.5505,0.823,1.678,0.4565,0.198,0.2515,0.5505,0.823,1.678,0.4565,2026-07-06T12:09:29+00:00,last_preko,710,1.0,4.0,A,FT,1,2026-07-07T11:01:09+00:00
1576804,2026-07-07 16:00,Argentina,Egypt,Round of 16,Group J,Group G,knockout,knockout,1.0,1.0,0,0.6769,0.199,0.1241,2.097,0.655,0.5191,0.6769,0.199,0.1241,2.097,0.655,0.5191,2026-07-07T13:32:34+00:00,last_preko,147,,,,,0,
1576805,2026-07-07 20:00,Switzerland,Colombia,Round of 16,Group B,Group K,knockout,knockout,1.0,1.0,0,0.2706,0.2741,0.4553,0.978,1.452,0.438,0.2706,0.2741,0.4553,0.978,1.452,0.438,2026-07-07T13:32:34+00:00,last_preko,387,,,,,0,
