fixture_id,date,season,league_tag,neutral,team,team_id,opp,opp_id,is_home,corners,yellow,red,shots,sot,fouls,possession
1544812,2026-06-08,2026,Friendlies,0,Uzbekistan,1568,Netherlands,1118,0,3.0,1.0,0.0,8.0,1.0,14.0,35.0
1528288,2026-06-07,2026,Friendlies,0,Colombia,8,Jordan,1548,1,1.0,,,4.0,3.0,4.0,67.0
1528288,2026-06-07,2026,Friendlies,0,Jordan,1548,Colombia,8,0,1.0,,,4.0,0.0,6.0,33.0
1542182,2026-06-07,2026,Friendlies,0,Ecuador,2382,Guatemala,5161,1,6.0,3.0,,18.0,6.0,11.0,66.0
1542182,2026-06-07,2026,Friendlies,0,Guatemala,5161,Ecuador,2382,0,0.0,1.0,,3.0,0.0,3.0,34.0
1540950,2026-06-07,2026,Friendlies,0,Morocco,31,Norway,1090,1,3.0,1.0,,13.0,5.0,6.0,46.0
1540950,2026-06-07,2026,Friendlies,0,Norway,1090,Morocco,31,0,11.0,1.0,,9.0,2.0,12.0,54.0
1512768,2026-06-07,2026,Friendlies,0,Croatia,3,Slovenia,1091,1,8.0,,,22.0,6.0,5.0,67.0
1512768,2026-06-07,2026,Friendlies,0,Slovenia,1091,Croatia,3,0,4.0,,,13.0,4.0,11.0,33.0
1540355,2026-06-07,2026,Friendlies,0,Argentina,26,Honduras,4672,1,6.0,4.0,,20.0,8.0,16.0,73.0
1540355,2026-06-07,2026,Friendlies,0,Honduras,4672,Argentina,26,0,1.0,1.0,,4.0,0.0,12.0,27.0
1543829,2026-06-06,2026,Friendlies,0,Venezuela,2379,Türkiye,777,1,2.0,2.0,,9.0,2.0,16.0,48.0
1543829,2026-06-06,2026,Friendlies,0,Türkiye,777,Venezuela,2379,0,12.0,1.0,,16.0,8.0,12.0,52.0
1528287,2026-06-06,2026,Friendlies,0,Brazil,6,Egypt,32,1,5.0,1.0,,12.0,7.0,9.0,53.0
1528287,2026-06-06,2026,Friendlies,0,Egypt,32,Brazil,6,0,3.0,1.0,,4.0,2.0,9.0,47.0
1525492,2026-06-06,2026,Friendlies,0,England,10,New Zealand,4673,1,8.0,,,23.0,4.0,10.0,72.0
1525492,2026-06-06,2026,Friendlies,0,New Zealand,4673,England,10,0,1.0,,,3.0,1.0,13.0,28.0
1544361,2026-06-06,2026,Friendlies,0,Qatar,1569,El Salvador,5159,1,3.0,1.0,,8.0,1.0,10.0,59.0
1544361,2026-06-06,2026,Friendlies,0,El Salvador,5159,Qatar,1569,0,4.0,1.0,,11.0,3.0,19.0,41.0
1540949,2026-06-06,2026,Friendlies,0,Bolivia,2381,Scotland,1108,1,3.0,3.0,,7.0,3.0,13.0,54.0
1540949,2026-06-06,2026,Friendlies,0,Scotland,1108,Bolivia,2381,0,6.0,1.0,,20.0,8.0,16.0,46.0
1542181,2026-06-06,2026,Friendlies,0,Switzerland,15,Australia,20,1,7.0,3.0,,9.0,3.0,10.0,63.0
1542181,2026-06-06,2026,Friendlies,0,Australia,20,Switzerland,15,0,2.0,2.0,,5.0,2.0,14.0,37.0
1502474,2026-06-06,2026,Friendlies,0,USA,2384,Germany,25,1,10.0,1.0,,16.0,4.0,11.0,52.0
1502474,2026-06-06,2026,Friendlies,0,Germany,25,USA,2384,0,2.0,3.0,,12.0,4.0,10.0,48.0
1528286,2026-06-06,2026,Friendlies,0,Portugal,27,Chile,2383,1,9.0,,1.0,18.0,8.0,8.0,62.0
1528286,2026-06-06,2026,Friendlies,0,Chile,2383,Portugal,27,0,3.0,,1.0,11.0,4.0,17.0,38.0
1512767,2026-06-06,2026,Friendlies,0,Belgium,1,Tunisia,28,1,13.0,0.0,0.0,27.0,12.0,9.0,66.0
1512767,2026-06-06,2026,Friendlies,0,Tunisia,28,Belgium,1,0,0.0,2.0,1.0,7.0,1.0,9.0,34.0
1544811,2026-06-06,2026,Friendlies,0,Haiti,2386,Peru,30,1,3.0,1.0,,8.0,1.0,14.0,42.0
1544811,2026-06-06,2026,Friendlies,0,Peru,30,Haiti,2386,0,3.0,4.0,,10.0,5.0,18.0,58.0
1528285,2026-06-05,2026,Friendlies,0,Canada,5529,Rep. Of Ireland,776,1,1.0,,,3.0,1.0,0.0,57.0
1528285,2026-06-05,2026,Friendlies,0,Rep. Of Ireland,776,Canada,5529,0,0.0,,,2.0,0.0,0.0,43.0
1528284,2026-06-05,2026,Friendlies,0,Mexico,16,Serbia,14,1,6.0,2.0,,17.0,7.0,12.0,67.0
1528284,2026-06-05,2026,Friendlies,0,Serbia,14,Mexico,16,0,1.0,2.0,,3.0,1.0,5.0,33.0
1536931,2026-06-04,2026,Friendlies,0,France,2,Ivory Coast,1501,1,8.0,0.0,,15.0,6.0,8.0,60.0
1536931,2026-06-04,2026,Friendlies,0,Ivory Coast,1501,France,2,0,2.0,1.0,,7.0,3.0,9.0,40.0
1544359,2026-06-04,2026,Friendlies,0,Spain,9,Iraq,1567,1,5.0,2.0,,13.0,4.0,8.0,66.0
1544359,2026-06-04,2026,Friendlies,0,Iraq,1567,Spain,9,0,3.0,2.0,,3.0,2.0,10.0,34.0
1542552,2026-06-04,2026,Friendlies,0,Sweden,5,Greece,1117,1,1.0,0.0,,13.0,5.0,6.0,53.0
1542552,2026-06-04,2026,Friendlies,0,Greece,1117,Sweden,5,0,4.0,2.0,,13.0,4.0,11.0,47.0
1544807,2026-06-04,2026,Friendlies,0,South Korea,17,El Salvador,5159,1,6.0,4.0,,13.0,6.0,17.0,71.0
1544807,2026-06-04,2026,Friendlies,0,El Salvador,5159,South Korea,17,0,1.0,1.0,,3.0,0.0,20.0,29.0
1536930,2026-06-03,2026,Friendlies,0,Netherlands,1118,Algeria,1532,1,6.0,,,17.0,6.0,11.0,52.0
1536930,2026-06-03,2026,Friendlies,0,Algeria,1532,Netherlands,1118,0,3.0,,,8.0,2.0,9.0,48.0
1544806,2026-06-03,2026,Friendlies,0,Haiti,2386,New Zealand,4673,1,5.0,0.0,0.0,13.0,7.0,9.0,51.0
1544806,2026-06-03,2026,Friendlies,0,New Zealand,4673,Haiti,2386,0,8.0,1.0,0.0,12.0,3.0,10.0,49.0
1536929,2026-06-02,2026,Friendlies,0,Wales,767,Ghana,1504,1,5.0,0.0,,18.0,3.0,7.0,66.0
1536929,2026-06-02,2026,Friendlies,0,Ghana,1504,Wales,767,0,4.0,2.0,,11.0,5.0,13.0,34.0
1545264,2026-06-02,2026,Friendlies,0,Morocco,31,Madagascar,1490,1,12.0,2.0,0.0,20.0,9.0,12.0,70.0
1545264,2026-06-02,2026,Friendlies,0,Madagascar,1490,Morocco,31,0,1.0,2.0,1.0,2.0,1.0,12.0,30.0
1512766,2026-06-02,2026,Friendlies,0,Croatia,3,Belgium,1,1,3.0,2.0,,5.0,1.0,13.0,57.0
1512766,2026-06-02,2026,Friendlies,0,Belgium,1,Croatia,3,0,4.0,2.0,,8.0,4.0,13.0,43.0
1514472,2026-06-02,2026,Friendlies,0,Canada,5529,Uzbekistan,1568,1,7.0,2.0,,10.0,4.0,9.0,52.0
1514472,2026-06-02,2026,Friendlies,0,Uzbekistan,1568,Canada,5529,0,3.0,2.0,,6.0,2.0,15.0,48.0
1537648,2026-06-01,2026,Friendlies,0,Colombia,8,Costa Rica,29,1,4.0,1.0,,8.0,4.0,5.0,67.0
1537648,2026-06-01,2026,Friendlies,0,Costa Rica,29,Colombia,8,0,2.0,1.0,,6.0,3.0,7.0,33.0
1511733,2026-06-01,2026,Friendlies,0,Austria,775,Tunisia,28,1,2.0,2.0,1.0,9.0,4.0,12.0,59.0
1511733,2026-06-01,2026,Friendlies,0,Tunisia,28,Austria,775,0,4.0,1.0,0.0,14.0,2.0,12.0,41.0
1543821,2026-06-01,2026,Friendlies,0,Türkiye,777,FYR Macedonia,1105,1,13.0,0.0,,20.0,8.0,14.0,60.0
1543821,2026-06-01,2026,Friendlies,0,FYR Macedonia,1105,Türkiye,777,0,1.0,1.0,,6.0,2.0,12.0,40.0
1536927,2026-06-01,2026,Friendlies,0,Norway,1090,Sweden,5,1,6.0,0.0,,22.0,7.0,6.0,55.0
1536927,2026-06-01,2026,Friendlies,0,Sweden,5,Norway,1090,0,1.0,1.0,,9.0,5.0,6.0,45.0
1536926,2026-05-31,2026,Friendlies,0,Brazil,6,Panama,11,1,1.0,0.0,,19.0,12.0,13.0,54.0
1536926,2026-05-31,2026,Friendlies,0,Panama,11,Brazil,6,0,1.0,1.0,,16.0,9.0,5.0,46.0
