slice,market,n,l3_logloss,dc_logloss,l3_brier,dc_brier,delta_mean,ci_min_lo,ci_max_lo,ci_min_hi,ci_max_hi,all_seeds_lo_pos,median_p,verdict
OOS_HIST_2024_2025,Over2.5,2360,0.7024997742542457,0.6816497257307454,0.24555759294677418,0.2443087888488384,0.02085004852350029,0.0008954412493838613,0.0012964178764138313,0.04499407451261831,0.04594414033027589,True,0.9823500000000001,FRÁGIL — IC roza 0 (min_lo=+0.0009 < margen +0.005) -> NO adoptar
OOS_HIST_2024_2025,BTTS,2360,0.6841340872466612,0.6812900974316732,0.24335399694497756,0.2440942143218746,0.0028439898149881454,-0.007862881148931846,-0.0076876987464604635,0.017286007772392104,0.017781219714309366,False,0.632425,NO adoptar (IC incluye 0)
OOS_HIST_2024_2025,Marcador,2360,2.877163409103136,3.2574696136896852,,,-0.38030620458654885,-0.5047712937617992,-0.5013565161308662,-0.26913802695630307,-0.2661523664634387,False,0.0,"L3 TECHO (DC PEOR, IC excluye 0 por debajo)"
OOS_2026_ALL,Over2.5,486,0.7166430278468873,0.6894159066363738,0.2500600451983855,0.24812462740498822,0.027227121210513676,-0.009839319973303253,-0.009465530658808547,0.08794358291474086,0.09098407006917365,False,0.829125,NO adoptar (IC incluye 0)
OOS_2026_ALL,BTTS,486,0.6956758680659709,0.6976981763422175,0.25136660250406956,0.25200563809531706,-0.002022308276246534,-0.01909865490598716,-0.01852135162781888,0.014508770433057146,0.014919070549679178,False,0.40642500000000004,NO adoptar (IC incluye 0)
OOS_2026_ALL,Marcador,486,2.9408066402021382,4.757511043024967,,,-1.816704402822829,-2.374060212900045,-2.3630018465552936,-1.312067019813779,-1.298759270245528,False,0.0,"L3 TECHO (DC PEOR, IC excluye 0 por debajo)"
OOS_ALL_EXPANDED,Over2.5,2846,0.704914960918344,0.6829759252810389,0.24632645865101985,0.24496040428745008,0.021939035637305104,0.0029779974736508295,0.003539235903469685,0.044120441542633705,0.04483304764120935,True,0.992475,FRÁGIL — IC roza 0 (min_lo=+0.0030 < margen +0.005) -> NO adoptar
OOS_ALL_EXPANDED,BTTS,2846,0.6861050308440557,0.68409203922736,0.24472227744452732,0.24544521641389608,0.002012991616695786,-0.007484954506342008,-0.007246089902761403,0.014360160615560653,0.014610765968649667,False,0.604675,NO adoptar (IC incluye 0)
OOS_ALL_EXPANDED,Marcador,2846,2.888031508299944,3.513625669437031,,,-0.6255941611370872,-0.7663338195053513,-0.7622522332044105,-0.49613521924535464,-0.4916360745424218,False,0.0,"L3 TECHO (DC PEOR, IC excluye 0 por debajo)"
