team,corners_att,corners_conc,cards_att,cards_conc,shots_att,shots_conc
Gabon,-0.0366,0.0544,-0.1061,0.0522,-0.0033,0.0431
Ghana,0.0286,-0.0049,0.0545,-0.2049,-0.0057,0.0126
Niger,-0.0537,0.0717,0.0787,-0.0488,-0.0607,0.0249
Zambia,0.1128,-0.2063,-0.1538,-0.0004,-0.1028,-0.1795
Congo DR,0.1134,-0.0889,-0.248,-0.0621,0.0914,-0.1057
Guinea,-0.0664,-0.0185,-0.0252,-0.0066,-0.0273,-0.012
Sudan,-0.0416,0.0408,0.0758,-0.0127,0.0012,-0.0188
Kenya,-0.0065,0.0095,-0.0085,-0.0096,-0.004,-0.0069
Mozambique,-0.1441,0.0263,0.0287,0.0327,-0.1312,-0.0127
Guinea-Bissau,-0.0081,-0.0013,0.0051,0.0556,0.0108,-0.0243
Rwanda,0.0258,0.0447,0.0651,0.0158,-0.054,-0.0414
Seychelles,0.0,0.0,0.0572,-0.0792,0.0,0.0
Benin,-0.0989,0.0028,0.1519,0.0376,-0.0833,-0.0912
Congo,-0.1162,0.0264,0.0241,0.0126,-0.1078,-0.0118
Lesotho,-0.1545,0.0028,0.0177,-0.0081,-0.011,-0.0464
Uganda,-0.1295,0.0081,0.0094,-0.1053,-0.0658,0.037
Botswana,-0.1975,-0.0528,0.019,-0.0035,-0.0792,0.0884
Equatorial Guinea,-0.0228,0.0401,0.0465,0.0845,0.0104,0.0617
Zimbabwe,0.0359,0.1539,-0.0242,-0.0343,-0.0528,0.133
Comoros,-0.1258,-0.0163,-0.1344,0.107,-0.0173,-0.0095
Liberia,-0.0144,-0.0195,0.0,0.0,0.0,0.0
Libya,0.0,0.0,0.0231,-0.0182,0.0,0.0
Central African Republic,0.0,0.0,0.0464,-0.013,0.0,0.0
Angola,0.1647,-0.0531,-0.0538,0.0608,0.0746,-0.066
Cameroon,0.0987,0.1394,0.115,0.1195,0.0282,-0.0152
South Africa,-0.093,-0.3167,0.0466,0.1382,0.0037,-0.2582
Algeria,0.0612,0.2343,0.147,0.1394,-0.1262,0.0302
Cape Verde Islands,-0.0453,0.0948,-0.0005,0.0003,0.0361,0.1181
Togo,0.0,0.0,-0.1032,0.0472,0.0,0.0
Djibouti,0.0,0.0,0.0224,0.0452,0.0,0.0
Tajikistan,0.0032,0.0218,-0.0449,-0.0006,-0.0077,0.015
India,-0.1141,0.0004,0.007,-0.0554,-0.0456,0.0547
