stat,n,raw_bias,target,shrink,correction_total,k,cap,capped
corners,54,-1.9493,1.9493,0.8438,1.6447,10.0,4.0,False
shots,54,-6.2652,6.2652,0.8438,5.2862,10.0,8.0,False
