team,team_id,club_form,cf_rating,cf_ga90,mean_tier,n_players,n_with_club,coverage
Germany,25,7.675,7.047,0.314,0.992,26,26,1.0
France,2,7.659,6.999,0.33,0.986,26,26,1.0
England,10,7.65,6.975,0.337,0.991,26,26,1.0
Spain,9,7.65,7.057,0.296,1.0,26,26,1.0
Portugal,27,7.255,6.579,0.338,0.922,26,26,1.0
Argentina,26,7.139,6.513,0.313,0.914,26,26,1.0
Netherlands,1118,7.124,6.709,0.207,0.967,26,26,1.0
Belgium,1,7.077,6.675,0.201,0.948,26,26,1.0
Switzerland,15,7.025,6.62,0.202,0.951,26,26,1.0
Senegal,13,7.005,6.561,0.222,0.947,26,26,1.0
Ivory Coast,1501,6.833,6.297,0.268,0.904,26,26,1.0
Türkiye,777,6.75,6.166,0.292,0.874,26,26,1.0
Brazil,6,6.7,6.132,0.284,0.859,26,26,1.0
Croatia,3,6.665,6.134,0.266,0.876,26,26,1.0
Norway,1090,6.584,6.06,0.262,0.864,26,26,1.0
Morocco,31,6.525,6.049,0.238,0.875,26,25,0.962
Algeria,1532,6.455,5.892,0.282,0.831,26,25,0.962
Austria,775,6.426,6.04,0.193,0.87,26,26,1.0
Scotland,1108,6.305,5.868,0.218,0.847,26,26,1.0
Saudi Arabia,23,6.168,5.653,0.257,0.808,26,23,0.885
Sweden,5,6.162,5.805,0.179,0.842,26,26,1.0
Japan,12,6.129,5.701,0.214,0.824,26,26,1.0
USA,2384,6.01,5.579,0.215,0.799,26,26,1.0
Ghana,1504,5.967,5.612,0.178,0.813,26,25,0.962
Tunisia,28,5.936,5.624,0.156,0.831,26,18,0.692
Colombia,8,5.823,5.362,0.231,0.767,26,26,1.0
Uruguay,7,5.767,5.296,0.236,0.757,26,26,1.0
Congo DR,1508,5.697,5.446,0.125,0.797,26,26,1.0
Czechia,770,5.623,5.135,0.244,0.732,26,26,1.0
South Korea,17,5.575,5.217,0.179,0.75,26,25,0.962
Curaçao,5530,5.513,5.208,0.153,0.766,26,23,0.885
Canada,5529,5.493,5.098,0.197,0.74,26,26,1.0
Bosnia & Herzegovina,1113,5.365,4.966,0.2,0.72,26,25,0.962
Uzbekistan,1568,5.309,4.915,0.197,0.634,26,24,0.923
Australia,20,5.26,5.05,0.105,0.722,26,26,1.0
Mexico,16,5.243,4.825,0.209,0.687,26,26,1.0
Ecuador,2382,5.241,4.942,0.149,0.71,26,26,1.0
Jordan,1548,5.211,4.821,0.195,0.703,26,16,0.615
Egypt,32,5.092,4.694,0.199,0.669,26,24,0.923
Haiti,2386,5.064,4.835,0.115,0.707,26,24,0.923
Paraguay,2380,5.038,4.716,0.161,0.671,26,25,0.962
Iran,22,4.911,4.453,0.229,0.647,26,21,0.808
Cape Verde Islands,1533,4.82,4.533,0.143,0.654,26,26,1.0
Panama,11,4.791,4.486,0.153,0.625,26,24,0.923
New Zealand,4673,4.525,4.276,0.124,0.613,26,25,0.962
Qatar,1569,4.461,4.129,0.166,0.592,26,24,0.923
Iraq,1567,4.343,4.114,0.115,0.604,26,20,0.769
South Africa,1531,3.977,3.753,0.112,0.534,26,26,1.0
