model,over_ll,over_br,over_ece,btts_ll,btts_br,btts_ece,total_mae,x_ll,x_br,ic_over_lo,ic_over_hi,ic_btts_lo,ic_btts_hi,ic_x_lo,ic_x_hi,harms_1x2
baseline,0.6908207320234142,0.24886368862354802,0.0069690487950353356,0.699960744607675,0.2494933491368658,0.06005093876661804,1.4401852139051174,0.9301298792518053,0.5498928681342825,,,,,,,
a |sup|,0.6883641312991504,0.2476976884251688,0.03215702610045196,0.6790584112754784,0.24317327783886236,0.009565959473310896,1.4226736609107522,0.930452112829025,0.5501460860163905,-0.002839059848428733,0.007769228370870619,0.012329709996807901,0.02960296468165099,-0.0011367356161210572,0.0004296987631824988,False
b |sup|+sup2,0.6860979478328655,0.24660426808139174,0.019650417141747433,0.6801086221364472,0.24372776861395215,0.014069222462942683,1.4235973780258708,0.9306748375952612,0.5502690004309216,0.0003528500332112799,0.009069145063935748,0.011846392407785478,0.02817738869740805,-0.0013186347080707224,0.00015506985818882575,False
c s_h+s_a,0.6914540091438883,0.2491754860696501,0.007666126522776239,0.7034226063487514,0.2508419627472764,0.07064226398570832,1.4384007418942448,0.9313946369585572,0.5501674645655004,-0.002517161284912551,0.0012171238148505218,-0.006156072815023419,-0.0007589484833554693,-0.003215495341652854,0.0007101811606052662,False
