fixture_id,date,competition,team_id,team_name,opponent_id,opponent_name,player_id,player_name,assist_player_id,assist_player_name,event_type,event_detail,minute,extra_minute,is_goal,is_assist,is_penalty_goal,is_penalty_miss,is_own_goal,is_card,card_type,is_substitution,data_quality,confidence,source
1489390,2026-06-19,World Cup 2026,31,Morocco,1108,Scotland,161897.0,I. Saibari,744.0,B. Diaz,Goal,Normal Goal,2,,1,1,0,0,0,0,,0,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,31,Morocco,1108,Scotland,18814.0,Issa Diop,,,Card,Yellow Card,23,,0,0,0,0,0,1,Yellow Card,0,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,1108,Scotland,31,Morocco,1117.0,K. Tierney,,,subst,Substitution 1,60,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,1108,Scotland,31,Morocco,289.0,Andy Robertson,,,Card,Yellow Card,65,,0,0,0,0,0,1,Yellow Card,0,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,1108,Scotland,31,Morocco,1125.0,R. Christie,,,subst,Substitution 2,71,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,1108,Scotland,31,Morocco,19524.0,C. Adams,,,subst,Substitution 3,71,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,31,Morocco,1108,Scotland,340573.0,B. El Khannouss,,,subst,Substitution 1,84,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,31,Morocco,1108,Scotland,161897.0,I. Saibari,,,subst,Substitution 2,84,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,31,Morocco,1108,Scotland,744.0,B. Diaz,,,subst,Substitution 3,84,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,1108,Scotland,31,Morocco,138417.0,N. Patterson,,,subst,Substitution 4,89,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,1108,Scotland,31,Morocco,19191.0,J. McGinn,,,subst,Substitution 5,89,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489390,2026-06-19,World Cup 2026,31,Morocco,1108,Scotland,129678.0,A. Ounahi,,,subst,Substitution 4,90,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,2386,Haiti,6,Brazil,20850.0,Carlens Arcus,,,Card,Yellow Card,4,,0,0,0,0,0,1,Yellow Card,0,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,6,Brazil,2386,Haiti,1165.0,M. Cunha,,,Goal,Normal Goal,23,,1,0,0,0,0,0,,0,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,6,Brazil,2386,Haiti,1165.0,M. Cunha,762.0,Vinicius Junior,Goal,Normal Goal,36,,1,1,0,0,0,0,,0,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,6,Brazil,2386,Haiti,1496.0,Raphinha,,,subst,Substitution 1,40,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,2386,Haiti,6,Brazil,8601.0,Frantzdy Pierrot,,,Card,Yellow Card,45,4.0,0,0,0,0,0,1,Yellow Card,0,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,6,Brazil,2386,Haiti,762.0,Vinicius Junior,1646.0,Lucas Paqueta,Goal,Normal Goal,45,,1,1,0,0,0,0,,0,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,2386,Haiti,6,Brazil,20850.0,C. Arcus,,,subst,Substitution 1,46,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,2386,Haiti,6,Brazil,8601.0,F. Pierrot,,,subst,Substitution 2,46,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,2386,Haiti,6,Brazil,174915.0,J. Casimir,,,subst,Substitution 3,62,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,6,Brazil,2386,Haiti,1646.0,Lucas Paqueta,,,subst,Substitution 2,64,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,6,Brazil,2386,Haiti,1165.0,M. Cunha,,,subst,Substitution 3,64,,0,0,0,0,0,0,,1,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,6,Brazil,2386,Haiti,24866.0,Douglas Santos,,,Card,Yellow Card,65,,0,0,0,0,0,1,Yellow Card,0,alta,alta,api_football_events
1489389,2026-06-20,World Cup 2026,2386,Haiti,6,Brazil,162733.0,R. Providence,,,subst,Substitution 4,71,,0,0,0,0,0,0,,1,alta,alta,api_football_events
