stat,n,mae,rmse,bias,bias_corr,mean_pred,mean_real,line_acc
corners,66,3.12,4.0,-2.15,-0.28,7.1,9.3,41.0
shots,66,6.95,8.6,-6.02,-0.79,18.7,24.7,
cards,66,1.93,2.19,1.41,,4.2,2.8,
