slice,variant,n,logloss,brier,ece,acc,T,delta_mean,ci_min_lo,ci_max_hi,all_lo_pos,median_p,verdict
OOS_PRIMARY_2024_preWC,C0_prod,3228,0.930951308627084,0.5503311367206334,0.021633277372055226,0.5539033457249071,,0.0,,,False,,baseline
OOS_PRIMARY_2024_preWC,C1_temp,3228,0.930951308627084,0.5503311367206333,0.021633277372055212,0.5539033457249071,1.0,1.036104975738316e-18,-2.8740627700965186e-18,4.914028790792908e-18,False,0.7002999999999999,NO adoptar (IC incluye 0)
OOS_PRIMARY_2024_preWC,C2_rolliso,3228,0.9297257348300715,0.5497855931124871,0.014239005226482209,0.5585501858736059,,0.0012255737970123415,3.747256559180177e-05,0.002435725531714479,True,0.979625,FRÁGIL — IC roza 0 (min_lo=+0.0000 < margen +0.005) -> NO adoptar
OOS_PRIMARY_2024_preWC,C3_temp_noiso,3228,0.9258965114037395,0.5489767851162943,0.01983744817603888,0.5619578686493185,1.1075000000000002,0.005054797223344364,0.00021465352003766344,0.012793910505863202,True,0.98405,FRÁGIL — IC roza 0 (min_lo=+0.0002 < margen +0.005) -> NO adoptar
OOS_SECONDARY_WC2026,C0_prod,81,0.8920638169099623,0.5273311109752351,0.09120795402382668,0.6049382716049383,,0.0,,,False,,baseline
OOS_SECONDARY_WC2026,C1_temp,81,0.8920638169099621,0.5273311109752351,0.0912079540238267,0.6049382716049383,1.0,9.937181393249857e-18,-1.610508708561184e-17,3.6322111299465e-17,False,0.771475,NO adoptar (IC incluye 0)
OOS_SECONDARY_WC2026,C2_rolliso,81,0.8952693031044512,0.5312073079893168,0.1021546544523345,0.5925925925925926,,-0.0032054861944889332,-0.012153782196210623,0.005817595281409305,False,0.23815,NO adoptar (IC incluye 0)
OOS_SECONDARY_WC2026,C3_temp_noiso,81,0.8899564024556331,0.5285921739827164,0.09815494074723331,0.5925925925925926,1.1075000000000002,0.002107414454329046,-0.015114110615748574,0.020692395808589125,False,0.5837749999999999,NO adoptar (IC incluye 0)
OOS_ALL,C0_prod,3311,0.9297715459847506,0.5496065870192417,0.020777167620767176,0.5554213228631834,,0.0,,,False,,baseline
OOS_ALL,C1_temp,3311,0.9297715459847506,0.5496065870192417,0.020777167620767176,0.5554213228631834,1.0,1.2867655865294588e-18,-2.5736359585301335e-18,5.151306157702069e-18,False,0.746975,NO adoptar (IC incluye 0)
OOS_ALL,C2_rolliso,3311,0.9286608833565084,0.5491726061826615,0.012425303053119823,0.5596496526729084,,0.001110662628242115,-7.254939934170539e-05,0.002302785217944505,False,0.9685250000000001,NO adoptar (IC incluye 0)
OOS_ALL,C3_temp_noiso,3311,0.924803492347906,0.548323766535852,0.017953800824252762,0.5629719118091211,1.1075000000000002,0.004968053636844599,0.0002232269248705915,0.012542336041068466,True,0.984275,FRÁGIL — IC roza 0 (min_lo=+0.0002 < margen +0.005) -> NO adoptar
