metric,L3,MAX,delta_L3_minus_MAX,ci_lo,ci_hi,p,signif
logloss,0.93211,0.9302,0.00191,-0.00598,0.01126,0.34,no
brier,0.55123,0.55113,0.00011,-0.00352,0.00364,0.47,no
accuracy,0.55669,0.56285,,,,,
ECE,0.01842,0.01572,,,,,
OU2.5_ll,0.68594,0.68823,-0.00229,-0.00485,0.00033,0.958,no
BTTS_ll,0.68037,0.68311,-0.00274,-0.00473,-0.00067,0.994,WORSE
