variant,n,logloss,brier,delta_mean,ci_min_lo,ci_max_hi,verdict
V0 (producción),1424,0.24580157619658366,0.07054261428976323,0.0,,,baseline
V1 (pool minutos),1424,0.24368072815780087,0.0697768938612023,0.002120848038782826,-0.001140143605321308,0.005671626360853301,NO adoptar (IC incluye 0)
V2 (K*=2160),1424,0.2439265762303584,0.07029659453053046,0.0018749999662252535,-0.00015546911709122738,0.004292658564407719,NO adoptar (IC incluye 0)
