target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,provider,refresh_status,refresh_note,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,result_ready_for_ledger,api_calls_planned,api_calls_executed,auto_apply,production_change
2026-06-17,2026-06-17T13:08:48+01:00,1524944,Vermont Green,Seacoast United Phantoms,USL League Two,USA,2026-06-16T23:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,2,2,2,2,0,,,,,YES,67,1,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1525406,Eagle FC,Lehigh Valley United,USL League Two,USA,2026-06-16T23:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,3,1,3,0,2,,,,,YES,67,2,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1524942,Houston Sur,GFI,USL League Two,USA,2026-06-17T00:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,3,8,3,8,2,3,,,,,YES,67,3,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1547745,La Fama,Britannia,Division di Honor,Aruba,2026-06-17T00:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,2,2,2,1,1,,,,,YES,67,4,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1542413,Central Stallions,Ulaanbaatar,Premier League,Mongolia,2026-06-17T07:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,0,0,,,,,YES,67,5,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1542414,Khoromkhon,Ulaangom City,Premier League,Mongolia,2026-06-17T10:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,5,2,5,1,2,,,,,YES,67,6,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1546785,Simba,Vita Club,Ligue 1,Congo-DR,2026-06-17T11:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,67,7,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1550470,Arsenal Tula,Volga Ulyanovsk,Friendlies Clubs,World,2026-06-17T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,67,8,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1477249,Singida Black Stars,Dodoma Jiji,Ligi kuu Bara,Tanzania,2026-06-17T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,67,9,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1507180,Gareji,Shturmi,Erovnuli Liga 2,Georgia,2026-06-17T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,67,10,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1507182,Merani Martvili,Samtredia,Erovnuli Liga 2,Georgia,2026-06-17T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,67,11,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1546783,Don Bosco,TP Mazembe,Ligue 1,Congo-DR,2026-06-17T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,67,12,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1546786,Saint Eloi Lupopo,Céleste,Ligue 1,Congo-DR,2026-06-17T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,67,13,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1547798,Molodechno-DYuSSh 4,Bate Borisov,Coppa,Belarus,2026-06-17T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,67,14,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1507181,Kolkheti Poti,Gori,Erovnuli Liga 2,Georgia,2026-06-17T14:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,67,15,NO,NO
