target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,adapter_status,allowed_downstream_use,review_priority,review_board_status,review_reason,manual_review_required,canonical_board_permission,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-17,2026-06-17T13:08:48+01:00,1524944,Vermont Green,Seacoast United Phantoms,USL League Two,USA,2026-06-16T23:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Vermont Green | pred_total_home_away=69.4/30.6,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1525406,Eagle FC,Lehigh Valley United,USL League Two,USA,2026-06-16T23:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Lehigh Valley United | pred_total_home_away=22.7/77.3,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1524942,Houston Sur,GFI,USL League Two,USA,2026-06-17T00:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=GFI | pred_total_home_away=21.8/78.3,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1547745,La Fama,Britannia,Division di Honor,Aruba,2026-06-17T00:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Britannia | pred_total_home_away=32.7/67.3,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1542413,Central Stallions,Ulaanbaatar,Premier League,Mongolia,2026-06-17T07:00:00+00:00,FT,97,HIGH_SIGNAL_REVIEW,prediction_winner=Ulaanbaatar | pred_total_home_away=36.0/64.0 | 1x2=5.00/4.50/1.42 | ou2.5=1.44/2.62,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1542414,Khoromkhon,Ulaangom City,Premier League,Mongolia,2026-06-17T10:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Khoromkhon | pred_total_home_away=70.2/29.8,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1546785,Simba,Vita Club,Ligue 1,Congo-DR,2026-06-17T11:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Vita Club | pred_total_home_away=24.2/75.8,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1550470,Arsenal Tula,Volga Ulyanovsk,Friendlies Clubs,World,2026-06-17T13:00:00+00:00,NS,57,MEDIUM_SIGNAL_REVIEW,prediction_winner=Volga Ulyanovsk | pred_total_home_away=39.3/60.7,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1477249,Singida Black Stars,Dodoma Jiji,Ligi kuu Bara,Tanzania,2026-06-17T13:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Singida Black Stars | pred_total_home_away=69.3/31.0,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1507180,Gareji,Shturmi,Erovnuli Liga 2,Georgia,2026-06-17T13:00:00+00:00,NS,100,HIGH_SIGNAL_REVIEW,prediction_winner=Gareji | pred_total_home_away=65.7/34.3 | 1x2=2.30/2.90/2.80 | ou2.5=8.00/1.06,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T13:08:48+01:00,1507182,Merani Martvili,Samtredia,Erovnuli Liga 2,Georgia,2026-06-17T13:00:00+00:00,NS,81,HIGH_SIGNAL_REVIEW,prediction_winner=Merani Martvili | pred_total_home_away=59.0/41.2 | 1x2=1.85/3.25/3.50 | ou2.5=6.50/1.08,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
