target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,source_status,discovery_reason,auto_apply,production_change
2026-06-17,2026-06-17T17:47:15+01:00,1524944,USL League Two,USA,Vermont Green,Seacoast United Phantoms,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1525406,USL League Two,USA,Eagle FC,Lehigh Valley United,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1524942,USL League Two,USA,Houston Sur,GFI,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1547745,Division di Honor,Aruba,La Fama,Britannia,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1542413,Premier League,Mongolia,Central Stallions,Ulaanbaatar,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1542414,Premier League,Mongolia,Khoromkhon,Ulaangom City,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1546785,Ligue 1,Congo-DR,Simba,Vita Club,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1550470,Friendlies Clubs,World,Arsenal Tula,Volga Ulyanovsk,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1477249,Ligi kuu Bara,Tanzania,Singida Black Stars,Dodoma Jiji,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1507180,Erovnuli Liga 2,Georgia,Gareji,Shturmi,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1507182,Erovnuli Liga 2,Georgia,Merani Martvili,Samtredia,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1546783,Ligue 1,Congo-DR,Don Bosco,TP Mazembe,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1546786,Ligue 1,Congo-DR,Saint Eloi Lupopo,Céleste,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1547798,Coppa,Belarus,Molodechno-DYuSSh 4,Bate Borisov,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-06-17,2026-06-17T17:47:15+01:00,1507181,Erovnuli Liga 2,Georgia,Kolkheti Poti,Gori,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
