target_date,generated_at,fixture_id,home_team,away_team,status,actual_home_goals,actual_away_goals,actual_total_goals,actual_home_sot,actual_away_sot,actual_total_sot,actual_home_shots,actual_away_shots,actual_total_shots,actual_home_corners,actual_away_corners,actual_total_corners,actual_home_cards,actual_away_cards,actual_total_cards,actual_home_fouls,actual_away_fouls,actual_total_fouls,actual_home_xg,actual_away_xg,actual_total_xg,actual_home_big,actual_away_big,actual_total_big,available_metrics,actuals_verdict,source_guard,auto_apply,production_change
2026-06-17,2026-06-17T12:21:14+01:00,1524944,Vermont Green,Seacoast United Phantoms,FT,2,2,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1525406,Eagle FC,Lehigh Valley United,FT,1,3,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1524945,Manhattan,Long Island Rough Riders,FT,0,4,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1524942,Houston Sur,GFI,FT,3,8,11,4,5,9,6,8,14,1,3,4,,,,,,,0,0,0,0,0,0,goals; sot; shots; corners; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1524946,FC Motown II,Hudson Valley Hammers,FT,3,1,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1524947,West Chester United,Lone Star II,FT,3,1,4,3,0,3,6,0,6,1,0,1,,,,,,,0,0,0,0,0,0,goals; sot; shots; corners; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1525407,Delaware FC,PA Classics,FT,0,2,2,3,0,3,3,0,3,0,0,0,,,,,,,0,0,0,0,0,0,goals; sot; shots; corners; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1547745,La Fama,Britannia,FT,2,2,4,,,,2,1,3,2,0,2,,,,,,,0,0,0,0,0,0,goals; shots; corners; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1489381,Argentina,Algeria,FT,3,0,3,6,0,6,10,7,17,2,2,4,,,,13,8,21,0,0,0,0,0,0,goals; sot; shots; corners; fouls; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1489382,Austria,Jordan,FT,3,1,4,4,4,8,11,11,22,4,3,7,,,,12,7,19,0,0,0,0,0,0,goals; sot; shots; corners; fouls; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,1542413,Central Stallions,Ulaanbaatar,FT,1,0,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,goals; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
