summary_scope,metric,rows_total
overall,target_fixtures,16
odds_structure_depth_status,OK,16
odds_structure_coherence_flag,RICH_COHERENT,9
odds_structure_coherence_flag,RICH_MIXED,7
odds_total_ladder_shape,BALANCED,6
odds_total_ladder_shape,LOW_GOALS,5
odds_total_ladder_shape,MILD_GOALS,5
odds_market_translation_hint,PREFER_MILDER_TOTAL,10
odds_market_translation_hint,CAUTION_FRAGILE_SIDE,4
odds_market_translation_hint,NEUTRAL,2
odds_line_aggression_flag,NEUTRAL,6
odds_line_aggression_flag,AVOID_AGGRESSIVE_OVERS,5
odds_line_aggression_flag,PREFER_OVER_1_5,5
