summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,16,16,14,14,0,87.8344,0.179352,18.5625,10.6875,7.875,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,14,14,14,14,0,88.7671,0.197558,21.2143,12.2143,9.0,0.0
by_final_execution_bucket,DOWNGRADED,,,,,2,2,0,0,0,81.305,0.051915,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,14,14,14,14,0,88.7671,0.197558,21.2143,12.2143,9.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,2,2,0,0,0,81.305,0.051915,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,14,14,14,14,0,88.7671,0.197558,21.2143,12.2143,9.0,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,2,2,0,0,0,81.305,0.051915,0.0,0.0,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,3,3,3,3,0,92.5767,0.256543,25.0,13.0,12.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,2,2,2,2,0,98.175,0.184242,23.0,13.0,10.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,9,9,9,9,0,85.4067,0.180855,19.5556,11.7778,7.7778,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,2,2,0,0,0,81.305,0.051915,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,14,14,14,14,0,88.7671,0.197558,21.2143,12.2143,9.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,2,2,0,0,0,81.305,0.051915,0.0,0.0,0.0,0.0
