fixture_id,home_team,away_team,tie_state_label,market_family_hint,vsigma_pre_score,vsigma_priority,tie_adjustment_note
1607607,FC Copenhagen,Debreceni VSC,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,66.77,A_ANALIZAR_PRIMERO,
1547763,Platense,Coquimbo Unido,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,66.43,A_ANALIZAR_PRIMERO,
1547758,Deportes Tolima,Independiente del Valle,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,64.38,B_ANALIZAR,
1547762,Palmeiras,Cerro Porteno,LEVEL_TIE,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,63.65,B_ANALIZAR,level_tie_soft_opening
1607197,RB Bragantino,Atletico-MG,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,61.96,B_ANALIZAR,
1607625,Rapid Vienna,Paide,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,57.6,B_ANALIZAR,
1606077,Tigre,Atletico Torque,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,57.35,B_ANALIZAR,
1607609,GKS Katowice,Hapoel Tel Aviv,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,38.5,NO_DATA_BLOCKED,
1565673,Arkadag,Goa,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1569333,East Bengal II,Al Arabi,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1600309,Amazulu,Orlando Pirates,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1600310,Durban City,Golden Arrows,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1600311,Kaizer Chiefs,Sekhukhune United,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1600312,Milford FC,Siwelele,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1548677,La Unión,Aucas,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,0.0,NO_DATA_BLOCKED,
