comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v7_rank,baseline_market,candidate_v2_market,candidate_v7_market,candidate_v7_decision,candidate_v7_required_edge,candidate_v7_actual_edge,candidate_v7_drift_status,candidate_v7_clv_direction
BASELINE+CANDIDATE_V2,1391177,Valencia vs Rayo Vallecano,La Liga,1,1,,OVER_1_5,OVER_1_5,,,,,,
BASELINE+CANDIDATE_V2,1544064,Bradford vs Bolton,League One,2,2,,OVER_1_5,OVER_1_5,,,,,,
