date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,is_two_leg_tie,tie_context_status,league_tier,league_tier_rank,league_filter_reason
2026-05-30,2026-05-30T15:15:00+01:00,1780150500,Segunda División,141,2025,1392223,NS,AD Ceuta FC,10139,Albacete,722,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-30T11:59:56.047509+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.25,1.375,1.125,1.75,1.625,1.375,0.625,0.875,0.25,0.25,0.625,0.625,0.75,0.875,0.625,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,10.4,16.4,3.2,5.8,50.4,2.2,6.2,14.4,2.8,2.0,3.4,5.0,5.0,1.0,1.0,11.4,15.6,3.4,4.8,41.4,4.8,5.4,11.8,2.4,1.667,3.0,FULL,2026-05-30T12:00:22.394116+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-30T12:01:27.904556+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,133.43,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:34.194529+00:00,11.0,58.0,-13.0,41.0,50.0,63.0,0.0,10.0,59.0,2.0,41.0,56.0,54.0,0.0,22.0,2026-05-30T12:01:42.012345+00:00,2.75,3.4,2.91,1.6,2.39,1.25,4.52,1.8,2.21,2.95,1.48,,,,,,13.0,136.0,4479.0,0.3636,0.2941,0.3436,0.625,0.4184,0.8,0.2212,0.5556,0.4525,0.339,0.6757,,,,,,2026-05-30T12:01:43.204300+00:00,OK,,,TIER_1,1,spain_segunda
2026-05-30,2026-05-30T20:00:00+01:00,1780167600,Segunda División,141,2025,1392222,NS,Granada CF,715,Sporting Gijon,731,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-30T11:59:56.048747+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.5,0.875,1.625,1.125,1.875,1.375,0.875,0.75,0.375,0.25,0.5,0.5,0.75,0.625,0.5,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.8,11.6,5.0,4.8,54.6,5.0,4.4,13.2,3.6,3.5,2.6,5.0,5.0,1.0,1.0,12.8,13.0,4.6,3.8,48.8,4.6,4.2,11.8,2.2,2.0,3.2,FULL,2026-05-30T12:00:27.756933+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-30T12:01:28.158136+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,418.43,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:34.378450+00:00,14.0,48.0,-5.0,41.0,49.0,54.0,0.0,12.0,58.0,5.0,41.0,58.0,53.0,0.0,22.0,2026-05-30T12:01:42.016310+00:00,2.57,3.4,3.01,1.73,2.25,1.3,3.86,1.93,2.03,3.35,1.4,,,,,,13.0,149.0,4463.0,0.3891,0.2941,0.3322,0.578,0.4444,0.7692,0.2591,0.5181,0.4926,0.2985,0.7143,,,,,,2026-05-30T12:01:43.553095+00:00,OK,,,TIER_1,1,spain_segunda
2026-05-30,2026-05-30T15:15:00+01:00,1780150500,Segunda División,141,2025,1392225,NS,Real Sociedad II,9585,Cultural Leonesa,725,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-30T11:59:56.047514+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.25,0.75,0.25,0.875,1.625,1.625,0.25,0.75,0.25,0.125,0.25,0.625,0.375,0.75,0.25,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,4.0,0.8,1.0,14.75,11.0,3.25,3.5,45.0,2.0,4.25,22.0,3.5,1.25,3.75,5.0,5.0,1.0,1.0,11.4,12.2,5.2,4.6,51.2,3.2,4.8,16.2,3.2,1.4,1.6,PARTIAL,2026-05-30T12:00:37.162602+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-30T12:01:28.630506+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,133.42,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:34.989477+00:00,15.0,46.0,-9.0,41.0,51.0,60.0,0.0,21.0,36.0,-29.0,41.0,38.0,67.0,1.0,22.0,2026-05-30T12:01:42.019069+00:00,2.38,3.42,3.22,1.67,2.28,1.28,4.13,1.83,2.14,3.1,1.44,,,,,,13.0,149.0,4547.0,0.4202,0.2924,0.3106,0.5988,0.4386,0.7812,0.2421,0.5464,0.4673,0.3226,0.6944,,,,,,2026-05-30T12:01:43.938392+00:00,OK,,,TIER_1,1,spain_segunda
2026-05-30,2026-05-30T17:00:00+01:00,1780156800,UEFA Champions League,2,2025,1544371,NS,Paris Saint Germain,85,Arsenal,42,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2026-05-30T11:59:56.048294+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.125,1.75,2.375,1.125,1.125,0.625,1.0,0.875,0.5,0.625,0.5,0.375,1.0,0.5,0.625,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,16.4,10.0,6.8,4.4,57.2,6.6,3.8,9.4,2.2,1.2,4.6,5.0,5.0,1.0,1.0,12.4,13.0,4.0,3.0,48.2,4.2,4.4,10.6,1.0,3.0,3.8,FULL,2026-05-30T12:00:43.403647+00:00,0.0,2.0,1.0,1.0,0.0,2.0,FULL,FULL,LOW,MEDIUM,FULL,2026-05-30T12:01:28.883750+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,238.41,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:35.649291+00:00,11.0,14.0,10.0,8.0,21.0,11.0,0.0,1.0,24.0,19.0,8.0,23.0,4.0,1.0,36.0,2026-05-30T12:01:42.021669+00:00,2.5,3.35,3.2,1.91,1.95,1.4,3.21,2.22,1.86,4.2,1.33,,,,,,13.0,189.0,6137.0,0.4,0.2985,0.3125,0.5236,0.5128,0.7143,0.3115,0.4505,0.5376,0.2381,0.7519,,,,,,2026-05-30T12:01:44.364844+00:00,OK,1.0,NO_FIRST_LEG_FOUND,TIER_1,1,uefa_top_competition
2026-05-30,2026-05-30T14:00:00+01:00,1780146000,Allsvenskan,113,2026,1494185,NS,AIK Stockholm,377,Sirius,370,Sweden,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,2026-05-30T11:59:56.046573+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.375,2.375,1.5,2.5,1.375,1.25,0.875,0.875,0.125,0.25,0.75,0.625,0.75,0.875,0.625,0.75,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.4,12.2,5.6,3.2,55.0,8.2,4.6,10.6,2.8,0.4,3.2,5.0,5.0,1.0,1.0,15.4,13.4,5.0,4.2,47.2,5.4,4.6,13.0,1.0,1.4,5.6,FULL,2026-05-30T12:00:50.962199+00:00,18.0,6.0,1.0,1.0,16.4,6.0,FULL,FULL,HIGH,HIGH,FULL,2026-05-30T12:01:29.238710+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,58.4,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:35.821238+00:00,9.0,12.0,-1.0,9.0,12.0,13.0,0.0,1.0,25.0,14.0,9.0,24.0,10.0,1.0,16.0,2026-05-30T12:01:42.024369+00:00,3.27,3.8,2.15,1.54,2.45,1.2,5.0,1.66,2.37,2.65,1.54,,,,,,13.0,128.0,3473.0,0.3058,0.2632,0.4651,0.6494,0.4082,0.8333,0.2,0.6024,0.4219,0.3774,0.6494,,,,,,2026-05-30T12:01:44.822032+00:00,OK,,,TIER_2,2,sweden_allsvenskan
2026-05-30,2026-05-30T14:00:00+01:00,1780146000,Allsvenskan,113,2026,1494187,NS,Gais,2170,Kalmar FF,374,Sweden,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2026-05-30T11:59:56.046578+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.375,1.0,1.5,1.375,1.125,1.625,0.75,0.75,0.375,0.0,0.5,0.75,0.75,0.75,0.625,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,14.8,10.6,5.0,4.0,53.2,5.2,3.8,17.6,2.0,1.2,3.8,5.0,5.0,1.0,1.0,12.8,13.4,5.0,5.8,43.0,4.8,4.6,13.4,1.6,1.4,5.0,FULL,2026-05-30T12:00:55.517196+00:00,10.0,4.0,1.0,1.0,9.6,3.2,FULL,FULL,HIGH,HIGH,FULL,2026-05-30T12:01:29.637179+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,58.4,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:36.198744+00:00,8.0,12.0,2.0,10.0,13.0,11.0,0.0,11.0,10.0,-1.0,9.0,11.0,12.0,0.0,16.0,2026-05-30T12:01:42.027006+00:00,2.13,3.52,3.85,1.76,2.15,1.3,3.77,1.97,1.96,3.4,1.36,,,,,,13.0,127.0,3377.0,0.4695,0.2841,0.2597,0.5682,0.4651,0.7692,0.2653,0.5076,0.5102,0.2941,0.7353,,,,,,2026-05-30T12:01:45.208727+00:00,OK,,,TIER_2,2,sweden_allsvenskan
2026-05-30,2026-05-30T14:00:00+01:00,1780146000,Allsvenskan,113,2026,1494189,NS,Malmo FF,375,Halmstad,766,Sweden,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2026-05-30T11:59:56.046583+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.75,0.25,1.5,0.5,1.125,2.25,1.0,0.5,0.375,0.0,0.625,0.5,0.625,1.0,0.375,0.5,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,12.4,15.0,4.0,5.6,47.2,4.6,7.2,12.8,1.6,0.4,4.4,5.0,5.0,1.0,1.0,11.6,15.2,2.0,5.0,40.8,2.4,6.0,12.6,2.0,0.8,3.8,FULL,2026-05-30T12:00:59.752339+00:00,4.0,0.0,1.0,1.0,4.0,0.0,FULL,FULL,HIGH,LOW,FULL,2026-05-30T12:01:30.046717+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,58.39,1.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:36.600554+00:00,12.0,10.0,-3.0,9.0,15.0,18.0,0.5,15.0,6.0,-8.0,9.0,7.0,15.0,1.0,16.0,2026-05-30T12:01:42.029740+00:00,1.53,4.42,6.25,1.91,1.95,1.25,4.1,1.78,2.11,2.93,1.44,,,,,,12.0,127.0,3390.0,0.6536,0.2262,0.16,0.5236,0.5128,0.8,0.2439,0.5618,0.4739,0.3413,0.6944,,,,,,2026-05-30T12:01:45.625845+00:00,OK,,,TIER_2,2,sweden_allsvenskan
2026-05-30,2026-05-30T15:00:00+01:00,1780149600,Eliteserien,103,2026,1494681,NS,Molde,329,Sandefjord,332,Norway,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,2026-05-30T11:59:56.047221+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.625,1.375,1.875,0.875,1.25,1.125,0.875,0.625,0.25,0.375,0.625,0.375,0.75,0.5,0.5,0.375,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.8,14.2,4.6,5.6,55.2,3.4,5.6,13.2,2.0,1.0,1.2,5.0,5.0,1.0,1.0,17.0,15.0,5.0,4.0,50.6,5.6,8.6,13.4,2.25,1.4,5.4,FULL,2026-05-30T12:01:05.969554+00:00,12.0,8.0,1.0,1.0,10.8,8.0,FULL,FULL,HIGH,HIGH,FULL,2026-05-30T12:01:30.707616+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,118.38,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:37.039868+00:00,6.0,16.0,4.0,10.0,16.0,12.0,0.0,7.0,14.0,-2.0,10.0,9.0,11.0,0.0,16.0,2026-05-30T12:01:42.032329+00:00,1.65,4.45,5.1,1.62,2.38,1.18,5.5,1.55,2.55,2.38,1.62,,,,,,13.0,149.0,3610.0,0.6061,0.2247,0.1961,0.6173,0.4202,0.8475,0.1818,0.6452,0.3922,0.4202,0.6173,,,,,,2026-05-30T12:01:46.015748+00:00,OK,,,TIER_2,2,norway_eliteserien
2026-05-30,2026-05-30T20:00:00+01:00,1780167600,Serie A,71,2026,1492280,NS,Atletico Paranaense,134,Mirassol,7848,Brazil,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2026-05-30T11:59:56.048752+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.375,1.625,1.25,1.125,1.0,1.0,0.5,0.75,0.375,0.25,0.375,0.5,0.625,0.75,0.5,0.375,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,14.4,8.0,6.0,1.6,55.4,4.8,3.4,15.8,3.2,1.6,2.6,5.0,5.0,1.0,1.0,10.4,16.0,3.8,4.6,39.6,3.4,7.6,14.6,4.0,1.0,2.8,FULL,2026-05-30T12:01:11.943255+00:00,10.0,6.0,1.0,1.0,9.6,6.0,FULL,FULL,HIGH,HIGH,FULL,2026-05-30T12:01:31.003486+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,418.37,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:37.983238+00:00,4.0,27.0,5.0,17.0,23.0,18.0,0.5,18.0,16.0,-5.0,16.0,18.0,23.0,1.0,20.0,2026-05-30T12:01:42.035134+00:00,1.9,3.55,4.85,2.1,1.75,1.47,3.0,2.4,1.65,4.53,1.22,,,,,,13.0,168.0,5512.0,0.5263,0.2817,0.2062,0.4762,0.5714,0.6803,0.3333,0.4167,0.6061,0.2208,0.8197,,,,,,2026-05-30T12:01:46.422821+00:00,OK,,,TIER_2,2,brazil_serie_a
2026-05-30,2026-05-30T21:30:00+01:00,1780173000,Serie A,71,2026,1492281,NS,Bahia,118,Botafogo,120,Brazil,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,2026-05-30T11:59:56.049059+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.0,2.125,1.5,2.25,2.0,1.25,0.875,1.0,0.125,0.25,0.75,0.75,1.0,0.875,0.875,0.875,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,15.4,14.8,6.2,6.4,60.0,6.0,6.4,12.2,1.8,1.6,3.8,5.0,5.0,1.0,1.0,19.4,9.6,6.8,4.0,57.0,7.2,4.2,16.2,2.2,2.25,5.0,FULL,2026-05-30T12:01:16.951727+00:00,10.0,12.0,1.0,1.0,8.8,11.6,FULL,FULL,HIGH,HIGH,FULL,2026-05-30T12:01:31.446818+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,508.36,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-30T12:01:38.119541+00:00,8.0,23.0,1.0,16.0,23.0,22.0,0.0,10.0,22.0,1.0,16.0,30.0,29.0,0.0,20.0,2026-05-30T12:01:42.037707+00:00,1.98,3.8,3.98,1.65,2.33,1.25,4.5,1.76,2.29,2.95,1.47,,,,,,13.0,169.0,6002.0,0.5051,0.2632,0.2513,0.6061,0.4292,0.8,0.2222,0.5682,0.4367,0.339,0.6803,,,,,,2026-05-30T12:01:46.894409+00:00,OK,,,TIER_2,2,brazil_serie_a
